Rank,Tier,Pokemon,Type1,Type2
745,F,Ferrothorn,Steel,Grass
746,F,Huntail,Water,Ice
747,F,Shadow Dewgong,Ice,
748,F,Gorebyss,Water,Psychic
749,F,Hitmontop,Fighting,Ice
750,F,Sharpedo,Dark,
751,F,Tangela,Grass,
752,F,Kangaskhan,Ground,Dragon
753,F,Altaria,Dragon,Flying
754,F,Lurantis,Bug,Grass
755,F,Lairon,Steel,Rock
756,F,Bouffalant,Ground,Normal
757,F,Sigilyph,Flying,
758,F,Hitmonchan,Fighting,
759,F,Relicanth,Water,
760,F,Hisuian Lilligant,Grass,Fighting
761,F,Throh,Fighting,
762,F,Shadow Gurdurr,Fighting,
763,F,Cinccino,Normal,Electric
764,F,Shadow Swellow,Flying,
765,F,Shadow Girafarig,Psychic,
766,F,Blissey,Normal,Electric
767,F,Qwilfish,Water,Ghost
768,F,Shadow Sharpedo,Dark,
769,F,Carnivine,Grass,
770,F,Torkoal,Fire,
771,F,Forretress,Bug,Steel
772,F,Machoke,Fighting,
773,F,Lopunny,Normal,Ghost
774,F,Oinkologne,Ground,Normal
775,F,Lilligant,Fairy,Grass
776,F,Zangoose,Ghost,Ground
777,F,Mandibuzz,Dark,
778,F,Mega Sableye,Ghost,Dark
779,F,Ninjask,Bug,Ghost
780,F,Shadow Zweilous,Dark,
781,F,Lanturn,Water,Electric
782,F,Dedenne,Electric,Fairy
783,F,Tentacruel,Poison,Water
784,F,Galarian Stunfisk,Steel,Ground
785,F,Swellow,Flying,
786,F,Rotom,Electric,
787,F,Graveler,Rock,
788,F,Shadow Purugly,Ghost,Fairy
789,F,Whimsicott,Fairy,Grass
790,F,Gumshoos,Dark,Normal
791,F,Tauros,Normal,Ground
792,F,Shadow Pignite,Fire,
793,F,Seaking,Water,Ice
794,F,Alolan Graveler,Rock,Electric
795,F,Meowstic,Dark,Psychic
796,F,Electrode,Electric,
797,F,Umbreon,Dark,
798,F,Stunfisk,Electric,
799,F,Stantler,Normal,Electric
800,F,Whiscash,Water,Ground
801,F,Shadow Haunter,Ghost,
802,F,Shadow Marowak,Ground,
803,F,Golbat,Flying,Ghost
804,F,Bellossom,Grass,Fairy
805,F,Probopass,Rock,
806,F,Steelix,Steel,Dragon
807,F,Shadow Alolan Dugtrio,Ground,
808,F,Shadow Misdreavus,Ghost,
809,F,Shadow Vigoroth,Normal,Rock
810,F,Bronzong,Psychic,Water
811,F,Mightyena,Dark,Fairy
812,F,Claydol,Ground,
813,F,Shadow Hisuian Sneasel,Poison,Bug
814,F,Ambipom,Normal,
815,F,Shadow Beedrill,Bug,Poison
816,F,Cresselia,Psychic,
817,F,Amoonguss,Dark,Poison
818,F,Masquerain,Flying,Ghost
819,F,Raboot,Fire,
820,F,Orbeetle,Psychic,
821,F,Crocalor,Fire,
822,F,Miltank,Normal,Ice
823,F,Cradily,Bug,Rock
824,F,Shelgon,Dragon,
825,F,Venomoth,Bug,
826,F,Hypno,Psychic,Ghost
827,F,Shadow Bibarel,Water,
828,F,Basculin Blue Striped,Water,
829,F,Basculin Red Striped,Water,
830,F,Basculin White Striped,Water,
831,F,Shadow Liepard,Dark,Fairy
832,F,Octillery,Water,Ice
833,F,Quagsire,Water,Ground
834,F,Girafarig,Psychic,
835,F,Shadow Marshtomp,Water,Ground
836,F,Shadow Seadra,Water,Ice
837,F,Klinklang,Electric,
838,F,Oinkologne Female,Ground,Normal
839,F,Castform Snowy,Ice,
840,F,Shadow Metang,Steel,Psychic
841,F,Sliggoo,Dragon,
842,F,Dubwool,Normal,Electric
843,F,Swoobat,Flying,
844,F,Alolan Dugtrio,Steel,Ground
845,F,Shadow Garbodor,Bug,Poison
846,F,Alomomola,Water,
847,F,Klefki,Ghost,Fairy
848,F,Dewgong,Ice,
849,F,Shadow Sealeo,Water,
850,F,Pignite,Fire,
851,F,Cherrim Sunny,Grass,Fire
852,F,Drakloak,Dragon,Ghost
853,F,Purugly,Ghost,Fairy
854,F,Orthworm,Steel,
855,F,Shadow Alolan Raticate,Dark,Normal
856,F,Zweilous,Dark,
857,F,Shadow Charmeleon,Fire,
858,F,Shadow Charjabug,Bug,Electric
859,F,Gurdurr,Fighting,
860,F,Liepard,Dark,Fairy
861,F,Kecleon,Ghost,Ice
862,F,Greedent,Dark,Normal
863,F,Registeel,Steel,Electric
864,F,Shadow Dragonair,Dragon,
865,F,Shadow Gligar,Flying,Ground
866,F,Shadow Gabite,Ground,
867,F,Togetic,Fairy,
868,F,Tropius,Flying,Dark
869,F,Shadow Mawile,Fairy,
870,F,Shadow Tyrunt,Dragon,
871,F,Uxie,Psychic,
872,F,Shadow Butterfree,Bug,
873,F,Beedrill,Bug,Poison
874,F,Kadabra,Psychic,Ghost
875,F,Drizzile,Water,
876,F,Mudbray,Ground,
877,F,Castform Sunny,Fire,
878,F,Furfrou Dandy,Dark,Water
879,F,Furfrou Debutante,Dark,Water
880,F,Furfrou Diamond,Dark,Water
881,F,Furfrou Heart,Dark,Water
882,F,Furfrou Kabuki,Dark,Water
883,F,Furfrou La Reine,Dark,Water
884,F,Furfrou Matron,Dark,Water
885,F,Furfrou Natural,Dark,Water
886,F,Furfrou Pharaoh,Dark,Water
887,F,Furfrou Star,Dark,Water
888,F,Bibarel,Water,
889,F,Alolan Persian,Dark,
890,F,Seviper,Poison,Dark
891,F,Boltund,Dark,
892,F,Shadow Araquanid,Bug,
893,F,Shadow Pupitar,Dark,Rock
894,F,Clodsire,Ground,Poison
895,F,Castform Rainy,Water,
896,F,Mantine,Water,Ice
897,F,Cherrim Overcast,Grass,Fairy
898,F,Shadow Braixen,Fire,
899,F,Vespiquen,Bug,
900,F,Vivillon Meadow,Flying,Bug
901,F,Shadow Arbok,Dragon,Dark
902,F,Seadra,Water,
903,F,Maushold Family Of Four,Ground,Fairy
904,F,Maushold Family Of Three,Ground,Fairy
905,F,Swalot,Ground,Poison
906,F,Misdreavus,Ghost,
907,F,Shadow Ivysaur,Grass,Poison
908,F,Hisuian Sneasel,Poison,Bug
909,F,Roselia,Poison,
910,F,Vigoroth,Normal,Rock
911,F,Chatot,Flying,
912,F,Mawile,Fairy,
913,F,Shadow Dewott,Water,
914,F,Marshtomp,Water,Ground
915,F,Shadow Watchog,Dark,Normal
916,F,Shadow Diggersby,Ground,
917,F,Parasect,Bug,
918,F,Charmeleon,Fire,
919,F,Shadow Rhyhorn,Ground,
920,F,Marowak,Ground,
921,F,Sunflora,Grass,Poison
922,F,Maractus,Poison,Flying
923,F,Gabite,Ground,
924,F,Shadow Alolan Marowak,Ground,Rock
925,F,Hakamo-o,Dragon,
926,F,Garbodor,Bug,Poison
927,F,Plusle,Electric,
928,F,Dragonair,Dragon,
929,F,Wugtrio,Water,
930,F,Tyrunt,Dragon,
931,F,Metang,Steel,Psychic
932,F,Shadow Persian,Normal,Fairy
933,F,Deoxys Attack,Psychic,
934,F,Shadow Amaura,Ice,
935,F,Braixen,Fire,
936,F,Butterfree,Bug,
937,F,Sealeo,Water,
938,F,Shadow Galarian Linoone,Dark,Normal
939,F,Quaxwell,Water,
940,F,Shadow Croconaw,Water,Ice
941,F,Charjabug,Bug,Electric
942,F,Shadow Sableye,Ghost,Dark
943,F,Comfey,Grass,Fairy
944,F,Magcargo,Rock,Fire
945,F,Mothim,Flying,
946,F,Shadow Duosion,Psychic,
947,F,Azumarill,Water,Fairy
948,F,Alolan Raticate,Dark,Normal
949,F,Kubfu,Fighting,
950,F,Eelektrik,Electric,
951,F,Shadow Kadabra,Psychic,Ghost
952,F,Deoxys Defense,Fighting,Rock
953,F,Ivysaur,Grass,Poison
954,F,Shadow Grotle,Dark,Grass
955,F,Shadow Raticate,Dark,Normal
956,F,Eldegoss,Grass,
957,F,Watchog,Dark,Normal
958,F,Pupitar,Dark,Rock
959,F,Gligar,Bug,Ground
960,F,Minun,Electric,
961,F,Duosion,Psychic,
962,F,Glimmet,Rock,
963,F,Shadow Jumpluff,Fairy,
964,F,Vanillish,Ice,
965,F,Emolga,Electric,
966,F,Lumineon,Water,
967,F,Shadow Gloom,Poison,
968,F,Thwackey,Normal,Grass
969,F,Amaura,Ice,
970,F,Dewott,Water,
971,F,Shadow Linoone,Ghost,Grass
972,F,Sableye,Ghost,Dark
973,F,Arbok,Dark,
974,F,Shadow Gothorita,Psychic,
975,F,Wormadam Plant,Bug,
976,F,Wormadam Sandy,Bug,
977,F,Munchlax,Ghost,Normal
978,F,Rufflet,Flying,
979,F,Shadow Quilava,Fire,
980,F,Shadow Porygon,Normal,Electric
981,F,Morgrem,Dark,Fairy
982,F,Poipole,Poison,
983,F,Dartrix,Flying,
984,F,Persian,Normal,Fairy
985,F,Shadow Prinplup,Water,
986,F,Shadow Dugtrio,Ground,
987,F,Kricketune,Bug,
988,F,Aegislash Shield,Psychic,Ghost
989,F,Shadow Lampent,Fire,
990,F,Araquanid,Bug,
991,F,Rhyhorn,Ground,
992,F,Audino,Normal,Fairy
993,F,Carkol,Rock,
994,F,Diggersby,Ground,
995,F,Spidops,Bug,
996,F,Shadow Shiinotic,Ghost,Grass
997,F,Raticate,Dark,Normal
998,F,Torracat,Fire,
999,F,Fletchinder,Fire,Flying
1000,F,Archen,Flying,Rock
1001,F,Quilava,Fire,
1002,F,Shadow Combusken,Fire,
1003,F,Galarian Ponyta,Psychic,Fairy
1004,F,Herdier,Ghost,Fairy
1005,F,Brionne,Fairy,Water
1006,F,Klang,Electric,
1007,F,Lampent,Fire,
1008,F,Dugtrio,Ground,
1009,F,Floette Red,Grass,Fairy
1010,F,Shadow Omanyte,Water,Rock
1011,F,Croconaw,Water,Ice
1012,F,Gloom,Poison,
1013,F,Shadow Tirtouga,Water,
1014,F,Floragato,Fairy,
1015,F,Illumise,Normal,Fairy
1016,F,Grotle,Dark,Grass
1017,F,Combusken,Fire,
1018,F,Dunsparce,Dark,Rock
1019,F,Galarian Linoone,Dark,Normal
1020,F,Shadow Bastiodon,Rock,
1021,F,Shadow Quilladin,Grass,
1022,F,Frogadier,Water,
1023,F,Shadow Servine,Grass,
1024,F,Shadow Ponyta,Fire,
1025,F,Shadow Wartortle,Water,Ice
1026,F,Shadow Fletchinder,Fire,Flying
1027,F,Shadow Corvisquire,Ground,Flying
1028,F,Litleo,Fire,
1029,F,Murkrow,Dark,Flying
1030,F,Shadow Dusclops,Ghost,
1031,F,Shadow Frogadier,Water,
1032,F,Hattrem,Psychic,
1033,F,Corvisquire,Ground,Flying
1034,F,Shadow Darumaka,Fire,
1035,F,Gothorita,Normal,Psychic
1036,F,Omanyte,Water,Rock
1037,F,Linoone,Ghost,Grass
1038,F,Porygon,Normal,Electric
1039,F,Darumaka,Fire,
1040,F,Volbeat,Normal,Bug
1041,F,Cetoddle,Ice,
1042,F,Palpitoad,Ground,
1043,F,Wormadam Trash,Bug,
1044,F,Krabby,Water,
1045,F,Shadow Flaaffy,Electric,
1046,F,Tirtouga,Water,
1047,F,Furret,Dark,Normal
1048,F,Prinplup,Steel,Water
1049,F,Tranquill,Flying,
1050,F,Sandygast,Ground,Ghost
1051,F,Jumpluff,Fairy,
1052,F,Monferno,Fire,
1053,F,Medicham,Fighting,
1054,F,Shadow Archen,Flying,Rock
1055,F,Ariados,Bug,Poison
1056,F,Beautifly,Bug,
1057,F,Tinkatuff,Fairy,
1058,F,Shadow Monferno,Fire,
1059,F,Alolan Grimer,Dark,Poison
1060,F,Ponyta,Fire,
1061,F,Carbink,Rock,
1062,F,Shiinotic,Ghost,Grass
1063,F,Flaaffy,Electric,
1064,F,Shadow Tranquill,Flying,
1065,F,Trumbeak,Flying,
1066,F,Shadow Bayleef,Grass,
1067,F,Shadow Wailmer,Water,Steel
1068,F,Luxio,Electric,
1069,F,Dusclops,Ghost,
1070,F,Servine,Grass,
1071,F,Shadow Grovyle,Normal,Grass
1072,F,Bonsly,Rock,
1073,F,Galarian Farfetchd,Bug,Fighting
1074,F,Shadow Hippopotas,Ground,
1075,F,Wartortle,Water,Ice
1076,F,Krokorok,Dark,
1077,F,Delcatty,Fairy,
1078,F,Shadow Ledian,Bug,
1079,F,Grovyle,Normal,Grass
1080,F,Scraggy,Dark,
1081,F,Quilladin,Grass,
1082,F,Toxapex,Poison,
1083,F,Shadow Murkrow,Dark,Flying
1084,F,Weepinbell,Poison,
1085,F,Wailmer,Water,Steel
1086,F,Shadow Alolan Geodude,Rock,
1087,F,Shadow Geodude,Rock,
1088,F,Shadow Dwebble,Rock,
1089,F,Larvesta,Bug,
1090,F,Shadow Nidorino,Poison,
1091,F,Shadow Aron,Steel,
1092,F,Geodude,Rock,
1093,F,Alolan Geodude,Rock,
1094,F,Corsola,Water,Rock
1095,F,Shadow Poliwhirl,Water,Ground
1096,F,Shadow Krabby,Water,
1097,F,Naclstack,Rock,
1098,F,Bastiodon,Rock,
1099,F,Staravia,Ground,Flying
1100,F,Nidorino,Poison,
1101,F,Shadow Nidorina,Dark,Poison
1102,F,Grimer,Poison,
1103,F,Shadow Alolan Grimer,Poison,
1104,F,Shadow Grimer,Poison,
1105,F,Shadow Trumbeak,Flying,
1106,F,Vullaby,Dark,
1107,F,Hippopotas,Ground,
1108,F,Drifloon,Ghost,
1109,F,Shadow Weepinbell,Poison,Grass
1110,F,Shadow Drilbur,Ground,Rock
1111,F,Galarian Darumaka,Ice,
1112,F,Shadow Onix,Rock,Dragon
1113,F,Shadow Roggenrola,Rock,
1114,F,Yanma,Flying,
1115,F,Bayleef,Grass,
1116,F,Shadow Slowpoke,Water,Psychic
1117,F,Swadloon,Bug,
1118,F,Dwebble,Rock,
1119,F,Dolliv,Normal,Ground
1120,F,Nidorina,Dark,Poison
1121,F,Aron,Steel,
1122,F,Shadow Luxio,Dark,
1123,F,Ledian,Bug,
1124,F,Spritzee,Fairy,
1125,F,Castform,Normal,Flying
1126,F,Lickitung,Ghost,Grass
1127,F,Roggenrola,Rock,
1128,F,Pancham,Fighting,Dark
1129,F,Drilbur,Ground,
1130,F,Poliwhirl,Water,Ground
1131,F,Slowpoke,Water,Psychic
1132,F,Shadow Lileep,Bug,Rock
1133,F,Shadow Spoink,Psychic,Ghost
1134,F,Frigibax,Dragon,Ice
1135,F,Shadow Drifloon,Ghost,
1136,F,Shadow Whirlipede,Bug,Poison
1137,F,Spoink,Psychic,Ghost
1138,F,Teddiursa,Ghost,Fairy
1139,F,Alolan Sandshrew,Steel,
1140,F,Shadow Sandshrew,Ground,
1141,F,Galarian Corsola,Ghost,
1142,F,Shadow Aipom,Normal,Flying
1143,F,Vibrava,Ground,
1144,F,Pawniard,Bug,Dark
1145,F,Pawmo,Electric,
1146,F,Pachirisu,Electric,
1147,F,Frillish,Water,Ghost
1148,F,Sandshrew,Ground,
1149,F,Stufful,Normal,Fighting
1150,F,Magnemite,Electric,
1151,F,Greavard,Ghost,
1152,F,Shadow Stufful,Normal,Fighting
1153,F,Shadow Alolan Sandshrew,Ground,Rock
1154,F,Elgyem,Psychic,
1155,F,Anorith,Normal,Rock
1156,F,Loudred,Dark,Fire
1157,F,Galarian Slowpoke,Psychic,
1158,F,Hisuian Growlithe,Dark,Rock
1159,F,Shadow Stunky,Dark,
1160,F,Shadow Timburr,Fighting,
1161,F,Onix,Rock,Dragon
1162,F,Timburr,Fighting,
1163,F,Stunky,Dark,
1164,F,Shadow Nosepass,Rock,
1165,F,Kabuto,Ground,Rock
1166,F,Buneary,Normal,Fire
1167,F,Aipom,Normal,Flying
1168,F,Whirlipede,Bug,Poison
1169,F,Shadow Teddiursa,Ghost,Fairy
1170,F,Shadow Vibrava,Dragon,Ground
1171,F,Snover,Ice,
1172,F,Espurr,Psychic,
1173,F,Farfetchd,Flying,
1174,F,Shadow Loudred,Dark,Fairy
1175,F,Clauncher,Water,
1176,F,Smoochum,Ice,
1177,F,Mantyke,Water,Ice
1178,F,Clamperl,Water,Ice
1179,F,Mienfoo,Fighting,
1180,F,Corphish,Water,
1181,F,Shadow Kabuto,Ground,Rock
1182,F,Shadow Exeggcute,Psychic,
1183,F,Cranidos,Psychic,Rock
1184,F,Lombre,Water,Grass
1185,F,Shadow Golett,Ground,Ghost
1186,F,Elekid,Electric,
1187,F,Lileep,Bug,Grass
1188,F,Shadow Staravia,Ground,Flying
1189,F,Magby,Fire,
1190,F,Silicobra,Ground,
1191,F,Golett,Ground,Ghost
1192,F,Shadow Pidgeotto,Flying,
1193,F,Bergmite,Dark,Ice
1194,F,Shadow Snover,Ice,
1195,F,Honedge,Psychic,Steel
1196,F,Shadow Cubone,Ground,
1197,F,Chinchou,Electric,
1198,F,Chansey,Normal,Fairy
1199,F,Nuzleaf,Dark,
1200,F,Machop,Fighting,
1201,F,Pumpkaboo Super Size,Ghost,Grass
1202,F,Shadow Cranidos,Psychic,Rock
1203,F,Exeggcute,Psychic,
1204,F,Shadow Axew,Steel,Dragon
1205,F,Shadow Anorith,Normal,Poison
1206,F,Shadow Gastly,Ghost,
1207,F,Pidgeotto,Flying,
1208,F,Toedscool,Ground,
1209,F,Shadow Phanpy,Normal,Ground
1210,F,Pumpkaboo Large Size,Ghost,Grass
1211,F,Axew,Normal,Dragon
1212,F,Crabrawler,Water,
1213,F,Fuecoco,Fire,
1214,F,Shadow Magnemite,Electric,
1215,F,Dustox,Bug,Poison
1216,F,Nosepass,Rock,
1217,F,Shadow Machop,Fighting,
1218,F,Shadow Drowzee,Normal,Psychic
1219,F,Growlithe,Dark,Fire
1220,F,Snubbull,Dark,Fairy
1221,F,Shadow Houndour,Dark,
1222,F,Phanpy,Normal,Ground
1223,F,Shadow Nuzleaf,Dark,Grass
1224,F,Pumpkaboo Average Size,Ghost,Grass
1225,F,Popplio,Water,
1226,F,Shadow Growlithe,Dark,Fire
1227,F,Nacli,Rock,
1228,F,Shadow Snubbull,Dark,
1229,F,Bulbasaur,Grass,Poison
1230,F,Spinda,Dark,Ground
1231,F,Koffing,Normal,Poison
1232,F,Oddish,Poison,
1233,F,Shadow Chespin,Grass,
1234,F,Clefairy,Normal,Fairy
1235,F,Shadow Seel,Ghost,Water
1236,F,Karrablast,Bug,
1237,F,Cubone,Ground,
1238,F,Deino,Dragon,Dark
1239,F,Deerling Autumn,Normal,Electric
1240,F,Deerling Spring,Normal,Electric
1241,F,Deerling Summer,Normal,Electric
1242,F,Deerling Winter,Normal,Electric
1243,F,Shadow Deino,Dragon,
1244,F,Drowzee,Normal,Psychic
1245,F,Shadow Totodile,Water,Dark
1246,F,Scorbunny,Fire,
1247,F,Shadow Ferroseed,Steel,
1248,F,Shadow Koffing,Normal,Poison
1249,F,Gastly,Ghost,
1250,F,Shadow Bulbasaur,Grass,
1251,F,Shadow Carvanha,Dark,Water
1252,F,Skrelp,Water,Poison
1253,F,Pumpkaboo,Ghost,Grass
1254,F,Pumpkaboo Small Size,Ghost,Grass
1255,F,Chespin,Grass,
1256,F,Shadow Oddish,Poison,Grass
1257,F,Shadow Solosis,Psychic,
1258,F,Flabebe Red,Grass,Fairy
1259,F,Yamask,Ghost,
1260,F,Munna,Psychic,Fairy
1261,F,Shadow Turtwig,Grass,
1262,F,Jangmo-o,Dragon,
1263,F,Psyduck,Water,
1264,F,Fidough,Fairy,
1265,F,Shadow Abra,Psychic,
1266,F,Houndour,Dark,
1267,F,Shellos East Sea,Ground,
1268,F,Shellos West Sea,Ground,
1269,F,Shadow Bagon,Dark,Fire
1270,F,Varoom,Ghost,Steel
1271,F,Totodile,Water,Dark
1272,F,Swirlix,Normal,Fairy
1273,F,Turtwig,Grass,
1274,F,Shadow Corphish,Water,
1275,F,Piplup,Water,Flying
1276,F,Shadow Dratini,Dragon,Normal
1277,F,Joltik,Dark,Electric
1278,F,Sinistea,Dark,Ghost
1279,F,Sinistea Antique,Dark,Ghost
1280,F,Shellder,Ice,Water
1281,F,Shadow Pineco,Bug,Rock
1282,F,Eevee,Normal,
1283,F,Sandile,Dark,Ground
1284,F,Shadow Tentacool,Water,
1285,F,Seel,Ghost,Water
1286,F,Goldeen,Ground,Water
1287,F,Shadow Piplup,Water,Flying
1288,F,Hisuian Zorua,Normal,Dark
1289,F,Quaxly,Water,
1290,F,Phantump,Ghost,
1291,F,Shadow Skorupi,Poison,
1292,F,Dottler,Psychic,
1293,F,Shadow Yamask,Ghost,
1294,F,Staryu,Water,
1295,F,Rowlet,Grass,
1296,F,Litwick,Fire,
1297,F,Skiddo,Psychic,Grass
1298,F,Carvanha,Dark,Water
1299,F,Ferroseed,Steel,
1300,F,Bagon,Dark,
1301,F,Skorupi,Poison,
1302,F,Galarian Meowth,Steel,
1303,F,Shadow Psyduck,Water,
1304,F,Trapinch,Ground,Dark
1305,F,Shadow Staryu,Water,Normal
1306,F,Tepig,Fire,
1307,F,Pansear,Fire,
1308,F,Shadow Karrablast,Bug,
1309,F,Mudkip,Water,Poison
1310,F,Shadow Mudkip,Water,Poison
1311,F,Voltorb,Electric,
1312,F,Pineco,Bug,Rock
1313,F,Woobat,Flying,
1314,F,Shadow Shieldon,Steel,Rock
1315,F,Shadow Wobbuffet,Fairy,Psychic
1316,F,Oshawott,Water,
1317,F,Gible,Ground,
1318,F,Larvitar,Dark,Rock
1319,F,Rockruff,Rock,
1320,F,Rockruff Dusk,Rock,
1321,F,Shadow Joltik,Dark,Electric
1322,F,Zorua,Dark,
1323,F,Finneon,Water,Ice
1324,F,Spheal,Water,Ice
1325,F,Sewaddle,Bug,Grass
1326,F,Chikorita,Grass,
1327,F,Solosis,Psychic,
1328,F,Abra,Psychic,
1329,F,Dratini,Dragon,Water
1330,F,Shadow Venonat,Bug,
1331,F,Tentacool,Water,
1332,F,Shadow Trapinch,Ground,
1333,F,Cacnea,Dark,Grass
1334,F,Mime Jr.,Normal,Psychic
1335,F,Shadow Chikorita,Grass,
1336,F,Venonat,Bug,
1337,F,Shadow Cacnea,Dark,Grass
1338,F,Sizzlipede,Bug,
1339,F,Shadow Shellder,Ice,Water
1340,F,Shadow Larvitar,Dark,Normal
1341,F,Clobbopus,Fighting,Ice
1342,F,Salandit,Poison,
1343,F,Tinkatink,Fairy,
1344,F,Shadow Spheal,Water,Ice
1345,F,Shadow Tepig,Fire,
1346,F,Mareep,Electric,
1347,F,Shadow Squirtle,Water,
1348,F,Paras,Bug,
1349,F,Shadow Horsea,Water,
1350,F,Shadow Trubbish,Normal,Grass
1351,F,Mareanie,Dark,Water
1352,F,Shadow Torchic,Fire,
1353,F,Shadow Voltorb,Electric,
1354,F,Skiploom,Normal,Fairy
1355,F,Shadow Mankey,Normal,Fighting
1356,F,Alolan Vulpix,Ice,
1357,F,Morelull,Ghost,Fairy
1358,F,Cubchoo,Fairy,Ice
1359,F,Shadow Oshawott,Water,
1360,F,Squirtle,Water,
1361,F,Skwovet,Dark,Normal
1362,F,Panpour,Water,
1363,F,Shadow Bellsprout,Grass,
1364,F,Shadow Litwick,Fire,
1365,F,Pansage,Grass,
1366,F,Shadow Skiploom,Normal,Fairy
1367,F,Shadow Natu,Flying,Ghost
1368,F,Horsea,Water,
1369,F,Gothita,Normal,Psychic
1370,F,Grubbin,Bug,
1371,F,Shieldon,Steel,Rock
1372,F,Shadow Gible,Ground,Normal
1373,F,Poltchageist,Ghost,
1374,F,Poltchageist Artisan,Ghost,
1375,F,Doduo,Flying,
1376,F,Shadow Croagunk,Poison,Fighting
1377,F,Foongus,Dark,Grass
1378,F,Shadow Glameow,Normal,Fairy
1379,F,Shadow Alolan Meowth,Dark,
1380,F,Vulpix,Fire,
1381,F,Torchic,Fire,
1382,F,Shadow Numel,Fire,Ground
1383,F,Meltan,Electric,
1384,F,Riolu,Fighting,
1385,F,Binacle,Normal,Rock
1386,F,Natu,Flying,
1387,F,Sobble,Water,
1388,F,Petilil,Fairy,Grass
1389,F,Trubbish,Normal,Grass
1390,F,Shadow Ducklett,Water,Flying
1391,F,Shadow Gothita,Normal,Psychic
1392,F,Ducklett,Water,Flying
1393,F,Fennekin,Fire,
1394,F,Goomy,Water,Dragon
1395,F,Gulpin,Normal,Ice
1396,F,Numel,Fire,Ground
1397,F,Mankey,Fighting,
1398,F,Sprigatito,Fairy,Grass
1399,F,Shadow Fennekin,Fire,Psychic
1400,F,Klink,Steel,Electric
1401,F,Tadbulb,Electric,
1402,F,Pikachu,Electric,
1403,F,Inkay,Psychic,Dark
1404,F,Vanillite,Ice,
1405,F,Buizel,Water,
1406,F,Bellsprout,Grass,
1407,F,Wobbuffet,Fairy,Psychic
1408,F,Shadow Kirlia,Psychic,
1409,F,Hisuian Voltorb,Electric,
1410,F,Treecko,Normal,Flying
1411,F,Shadow Treecko,Normal,Grass
1412,F,Shadow Pidove,Flying,Fire
1413,F,Snivy,Grass,
1414,F,Galarian Yamask,Ghost,
1415,F,Grookey,Normal,Grass
1416,F,Shadow Foongus,Dark,Grass
1417,F,Impidimp,Dark,
1418,F,Snorunt,Ice,
1419,F,Shadow Snivy,Grass,
1420,F,Shadow Charmander,Fire,
1421,F,Shadow Cyndaquil,Fire,
1422,F,Minccino,Normal,Water
1423,F,Glameow,Normal,Flying
1424,F,Shadow Phantump,Ghost,Grass
1425,F,Alolan Meowth,Dark,
1426,F,Shadow Swablu,Flying,
1427,F,Shadow Shelmet,Bug,
1428,F,Shadow Grubbin,Bug,
1429,F,Shadow Inkay,Psychic,Dark
1430,F,Croagunk,Poison,Fighting
1431,F,Shadow Chimchar,Fire,
1432,F,Luvdisc,Water,Fairy
1433,F,Shroodle,Poison,
1434,F,Shadow Froakie,Normal,Water
1435,F,Litten,Fire,
1436,F,Charmander,Fire,
1437,F,Cyndaquil,Fire,
1438,F,Chingling,Psychic,
1439,F,Swablu,Flying,
1440,F,Shadow Mareep,Electric,
1441,F,Shadow Morelull,Ghost,Fairy
1442,F,Shadow Shuppet,Dark,Ghost
1443,F,Shelmet,Bug,
1444,F,Slugma,Rock,Fire
1445,F,Shroomish,Normal,Grass
1446,F,Shadow Nidoran ♀,Dark,Poison
1447,F,Chimchar,Fire,
1448,F,Barboach,Water,Ground
1449,F,Nidoran ♀,Dark,Poison
1450,F,Yungoos,Dark,Normal
1451,F,Kirlia,Psychic,
1452,F,Shadow Vulpix,Fire,
1453,F,Nincada,Bug,
1454,F,Pidove,Flying,Fire
1455,F,Shadow Patrat,Dark,Ground
1456,F,Froakie,Normal,Flying
1457,F,Remoraid,Water,Ice
1458,F,Shadow Ledyba,Bug,Flying
1459,F,Shadow Pikipek,Flying,
1460,F,Yamper,Dark,
1461,F,Ledyba,Bug,Flying
1462,F,Shadow Barboach,Water,
1463,F,Shadow Ekans,Poison,Normal
1464,F,Shadow Purrloin,Dark,
1465,F,Tandemaus,Ground,Fairy
1466,F,Cottonee,Fairy,Grass
1467,F,Hatenna,Fairy,Psychic
1468,F,Shadow Meowth,Normal,Dark
1469,F,Cherubi,Normal,Grass
1470,F,Baltoy,Psychic,Ground
1471,F,Shuppet,Dark,Ghost
1472,F,Shadow Dewpider,Bug,Water
1473,F,Lillipup,Ground,Electric
1474,F,Helioptile,Electric,
1475,F,Shadow Electrike,Electric,
1476,F,Dewpider,Bug,Water
1477,F,Steenee,Fairy,Ice
1478,F,Patrat,Dark,Ground
1479,F,Smoliv,Normal,Grass
1480,F,Shadow Alolan Diglett,Ground,
1481,F,Shadow Baltoy,Psychic,Ground
1482,F,Delibird,Normal,Ice
1483,F,Ekans,Poison,
1484,F,Surskit,Bug,Water
1485,F,Shadow Diglett,Ground,
1486,F,Shadow Helioptile,Electric,
1487,F,Pikipek,Flying,
1488,F,Purrloin,Dark,
1489,F,Meowth,Normal,Dark
1490,F,Electrike,Electric,
1491,F,Shadow Duskull,Ghost,
1492,F,Duskull,Ghost,
1493,F,Shadow Makuhita,Fighting,Steel
1494,F,Nickit,Dark,
1495,F,Budew,Grass,
1496,F,Charcadet,Fire,
1497,F,Jigglypuff,Normal,
1498,F,Tympole,Water,Ground
