Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2
Smoochum,62.8,238,ice,psychic,139.4,88,118,1447404,51.0,1424,Powder Snow,Psyshock,Ice Punch
Lycanroc (Midnight),62.7,745,rock,,131.9,100.6,128,1698349,20.5,1498,Counter,Stone Edge,Psychic Fangs
Camerupt,62.6,323,fire,ground,131.6,102.4,126,1698122,26.5,1495,Incinerate,Earth Power,Rock Tomb
Camerupt (Shadow),62.6,323,fire,ground,131.6,102.4,126,1698122,26.5,1495,Incinerate,Earth Power,Rock Tomb
Centiskorch,62.6,851,fire,bug,127.9,99.4,138,1755390,19.0,1500,Ember,Lunge,Heat Wave
Charizard (Shadow),62.5,6,fire,flying,131.8,110.7,117,1706905,19.5,1500,Ember,Blast Burn,Air Cutter
Heatran (Shadow),62.4,485,fire,steel,129.9,117.4,113,1723537,15.0,1498,Fire Spin,Magma Storm,Earth Power
Pignite,62.4,499,fire,fighting,125.7,88,161,1780605,30.5,1498,Ember,Rock Tomb,Flame Charge
Magcargo,62.1,219,fire,rock,108.7,161,118,2064635,40.5,1498,Ember,Rock Tomb,Overheat
Diancie,62,719,rock,fairy,115.7,181.5,92,1931733,21.0,1499,Rock Throw,Rock Slide,Moonblast
Lycanroc (Midday),62,745,rock,,141.3,94.4,119,1586924,21.0,1499,Sucker Punch,Drill Run,Stone Edge
Moltres,62,146,fire,flying,134.6,104.7,118,1663699,16.0,1497,Wing Attack,Fly,Heat Wave
Sudowoodo (Shadow),62,185,rock,,115.3,130.5,129,1942248,27.5,1497,Counter,Meteor Beam,Trailblaze
Braixen (Shadow),61.9,654,fire,,128.4,108.2,126,1750372,34.5,1500,Ember,Psyshock,Flame Charge
Croconaw (Shadow),61.7,159,water,,116.2,121.6,137,1935810,39.0,1500,Water Gun,Ice Punch,Water Pulse
Suicune,61.7,245,water,,105.2,145.4,139,2126715,19.0,1499,Ice Fang,Bubble Beam,Scald
Chinchou,61.6,170,water,electric,100.4,93,162,1512206,51.0,1234,Bubble,Water Pulse,Thunderbolt
Poliwhirl,61.6,61,water,,115.4,114.5,147,1942244,51.0,1500,Bubble,Scald,Mud Bomb
Rhyhorn (Shadow),61.6,111,ground,rock,111.4,111.4,163,2021687,43.5,1500,Mud Slap,Bulldoze,Stomp
Salazzle,61.6,758,poison,fire,145.2,91.9,116,1548196,23.0,1499,Incinerate,Poison Fang,Dragon Pulse
Torkoal,61.2,324,fire,,106.2,153.3,130,2115495,28.5,1499,Ember,Flame Wheel,Overheat
Combusken,61.1,256,fire,fighting,128.6,101.9,133,1742874,41.0,1498,Ember,Rock Slide,Flame Charge
Emboar (Shadow),61.1,500,fire,fighting,136.6,82,147,1646949,19.0,1500,Ember,Blast Burn,Heat Wave
Mamoswine,61.1,473,ice,ground,136.1,86,141,1650234,17.0,1499,Powder Snow,Icicle Spear,Stone Edge
Goldeen,61,118,water,,114.5,103.7,118,1402051,51.0,1270,Peck,Aqua Tail,Horn Attack
Seadra,61,117,water,,130.3,117.8,112,1718374,28.0,1497,Dragon Breath,Hydro Pump,Dragon Pulse
Tirtouga,61,564,water,rock,113.7,132.8,131,1977901,51.0,1500,Water Gun,Surf,Body Slam
Carkol,60.9,838,rock,fire,96.3,142.7,170,2336297,51.0,1500,Smack Down,Rock Slide,Flame Charge
Incineroar,60.7,727,fire,dark,124.4,108.2,134,1803463,19.0,1499,Fire Fang,Brutal Swing,Blast Burn
Delphox (Shadow),60.5,655,fire,psychic,132,117.1,110,1700951,18.5,1500,Fire Spin,Psyshock,Blast Burn
Heatran,60.5,485,fire,steel,129.9,117.4,113,1723537,15.0,1498,Fire Spin,Magma Storm,Earth Power
Tirtouga (Shadow),60.5,564,water,rock,113.7,132.8,131,1977901,51.0,1500,Water Gun,Surf,Body Slam
Mr. Mime (Galarian),60.4,122,ice,psychic,128.7,128,106,1745274,28.5,1499,Confusion,Ice Punch,Triple Axel
Huntail,60.2,367,water,,129.9,126.7,105,1728340,24.5,1499,Water Gun,Aqua Tail,Crunch
Rhydon (Shadow),60.2,112,ground,rock,125.2,104,138,1796036,17.5,1499,Mud Slap,Stone Edge,Surf
Suicune (Shadow),60.2,245,water,,105.2,145.4,139,2126715,19.0,1499,Ice Fang,Bubble Beam,Scald
Cryogonal,59.9,615,ice,,114.4,140.3,122,1959412,20.5,1499,Ice Shard,Triple Axel,Night Slash
Monferno (Shadow),59.9,391,fire,fighting,127.9,96.6,142,1754341,45.5,1500,Ember,Flame Wheel,Low Sweep
Volcanion,59.9,721,fire,water,132.5,119.4,107,1692869,15.5,1499,Incinerate,Scald,Overheat
Sharpedo (Shadow),59.7,319,water,dark,164.8,66.5,124,1358544,26.5,1497,Waterfall,Crunch,Poison Fang
Archen (Shadow),59.6,566,rock,flying,157.9,76.4,118,1423473,31.5,1500,Wing Attack,Ancient Power,Crunch
Vanilluxe,59.6,584,ice,,129.8,118.5,112,1723602,20.0,1499,Astonish,Avalanche,Flash Cannon
Boldore,59.5,525,rock,,123.4,111.4,132,1814605,29.0,1500,Mud Slap,Rock Slide,Bulldoze
Bonsly,59.5,438,rock,,115.4,122.8,126,1785417,51.0,1436,Rock Throw,Rock Tomb,Rock Slide
Braixen,59.4,654,fire,,128.4,108.2,126,1750372,34.5,1500,Ember,Psyshock,Flame Charge
Croconaw,59.4,159,water,,116.2,121.6,137,1935810,39.0,1500,Water Gun,Ice Punch,Water Pulse
Carracosta (Shadow),59.3,565,water,rock,119.3,131.1,120,1877959,22.0,1500,Water Gun,Liquidation,Body Slam
Ceruledge,59.3,937,fire,ghost,134.1,114,109,1667028,17.5,1499,Incinerate,Shadow Ball,Heat Wave
Sneasel (Shadow),59.3,215,dark,ice,132.9,112.5,113,1689256,28.5,1499,Ice Shard,Avalanche,Foul Play
Weavile (Shadow),59.3,461,dark,ice,140.1,106.8,107,1600397,18.5,1499,Snarl,Avalanche,Foul Play
Poliwhirl (Shadow),59.2,61,water,,115.4,114.5,147,1942244,51.0,1500,Bubble,Scald,Mud Bomb
Archeops (Shadow),59.1,567,rock,flying,159,83.6,106,1409042,16.5,1499,Wing Attack,Ancient Power,Crunch
Seadra (Shadow),59.1,117,water,,130.3,117.8,112,1718374,28.0,1497,Dragon Breath,Dragon Pulse,Hydro Pump
Pignite (Shadow),59,499,fire,fighting,125.7,88,161,1780605,30.5,1498,Ember,Rock Tomb,Flame Charge
Sharpedo,59,319,water,dark,164.8,66.5,124,1358544,26.5,1497,Waterfall,Crunch,Poison Fang
Glimmora,58.9,970,rock,poison,135.6,105.8,115,1649829,17.0,1500,Rock Throw,Meteor Beam,Power Gem
Litleo,58.9,667,fire,normal,122,105.4,143,1838865,51.0,1500,Incinerate,Flame Charge,Crunch
Prinplup,58.9,394,water,,116.9,120,137,1922422,40.0,1500,Bubble,Icy Wind,Hydro Pump
Arcanine,58.8,59,fire,,130.3,103.9,127,1719687,18.5,1499,Fire Fang,Wild Charge,Psychic Fangs
Basculin,58.8,550,water,,131.7,99.6,130,1705739,28.0,1500,Water Gun,Aqua Tail,Aqua Jet
Houndour (Shadow),58.8,228,dark,fire,138.6,81.3,118,1330201,51.0,1361,Ember,Crunch,Flamethrower
Rotom (Heat),58.7,479,electric,fire,128.1,145.6,94,1753373,22.5,1499,Thunder Shock,Overheat,Thunderbolt
Boldore (Shadow),58.6,525,rock,,123.4,111.4,132,1814605,29.0,1500,Mud Slap,Rock Slide,Bulldoze
Graveler,58.5,75,rock,ground,120.5,130.7,118,1858409,31.5,1497,Mud Slap,Rock Slide,Dig
Charizard,58.4,6,fire,flying,131.8,110.7,117,1706905,19.5,1500,Ember,Blast Burn,Air Cutter
Crocalor,58.4,910,fire,,117.8,108.3,149,1900194,30.5,1495,Incinerate,Crunch,Flamethrower
Talonflame (Shadow),58.2,663,fire,flying,119.4,115.3,136,1872061,26.5,1496,Incinerate,Flame Charge,Fly
Chandelure (Shadow),58,609,ghost,fire,149.4,108,93,1500421,17.0,1498,Incinerate,Shadow Ball,Energy Ball
Coalossal,58,839,rock,fire,97.2,139.1,171,2312134,25.5,1499,Fire Spin,Rock Slide,Flame Charge
Growlithe (Hisuian),57.9,58,fire,rock,130.3,88.8,141,1631531,51.0,1458,Ember,Rock Slide,Crunch
Rampardos (Shadow),57.8,409,rock,,162.3,67.3,127,1387159,16.5,1500,Smack Down,Rock Slide,Flamethrower
Kingler (Shadow),57.7,99,water,,142.9,115.5,95,1569083,20.0,1499,Bubble,Crabhammer,X-Scissor
Larvesta,57.7,636,bug,fire,129.1,101,133,1733909,50.5,1497,Ember,Flame Wheel,Bug Buzz
Carracosta,57.6,565,water,rock,119.3,131.1,120,1877959,22.0,1500,Water Gun,Liquidation,Body Slam
Geodude (Shadow),57.6,74,rock,ground,122,122,112,1667037,51.0,1426,Rock Throw,Rock Tomb,Rock Slide
Stonjourner,57.5,874,rock,,124.1,109,134,1812038,17.5,1500,Rock Throw,Rock Slide,Stomp
Delphox,57.3,655,fire,psychic,132,117.1,110,1700951,18.5,1500,Fire Spin,Psyshock,Blast Burn
Glimmet,57.3,969,rock,poison,145.9,91.9,115,1542297,38.5,1500,Rock Throw,Power Gem,Dazzling Gleam
Arcanine (Shadow),57.2,59,fire,,130.3,103.9,127,1719687,18.5,1499,Fire Fang,Wild Charge,Psychic Fangs
Chandelure,57.2,609,ghost,fire,149.4,108,93,1500421,17.0,1498,Incinerate,Shadow Ball,Energy Ball
Sneasel,57.2,215,dark,ice,132.9,112.5,113,1689256,28.5,1499,Ice Shard,Avalanche,Foul Play
Growlithe (Shadow),56.9,58,fire,,125.3,89.6,133,1493981,51.0,1371,Ember,Flame Wheel,Body Slam
Kyogre (Shadow),56.9,382,water,,132.5,119.3,107,1691460,13.5,1497,Waterfall,Avalanche,Surf
Rhydon,56.9,112,ground,rock,125.2,104,138,1796036,17.5,1499,Mud Slap,Stone Edge,Surf
Weavile,56.8,461,dark,ice,140.1,106.8,107,1600397,18.5,1499,Snarl,Avalanche,Foul Play
Crabominable,56.7,740,fighting,ice,136.1,89,136,1646349,19.0,1497,Bubble,Ice Punch,Brick Break
Clamperl,56.5,366,water,,122.8,124.5,104,1590300,51.0,1401,Water Gun,Body Slam,Water Pulse
Cloyster,56.5,91,water,ice,117.9,169.9,95,1903425,23.0,1498,Ice Shard,Icy Wind,Liquidation
Emboar,56.4,500,fire,fighting,136.6,82,147,1646949,19.0,1500,Ember,Blast Burn,Heat Wave
Heatmor,56.4,631,fire,,132.6,93.1,137,1690795,24.0,1497,Fire Spin,Thunder Punch,Flamethrower
Wugtrio,56.4,961,water,,150,108.3,92,1494409,31.0,1498,Mud Slap,Liquidation,Surf
Monferno,56.1,391,fire,fighting,127.9,96.6,142,1754341,45.5,1500,Ember,Flame Wheel,Low Sweep
Rhyhorn,55.8,111,ground,rock,111.4,111.4,163,2021687,43.5,1500,Mud Slap,Bulldoze,Stomp
Frosmoth,55.6,873,ice,bug,140.1,102.3,112,1604887,21.0,1499,Powder Snow,Icy Wind,Bug Buzz
Simipour,55.5,516,water,,135.2,96.6,127,1658902,24.5,1499,Water Gun,Surf,Crunch
Inteleon,55.4,818,water,,152.3,89.5,108,1473403,19.0,1499,Water Gun,Snipe Shot,Shadow Ball
Kingler,55.3,99,water,,142.9,115.5,95,1569083,20.0,1499,Bubble,Crabhammer,X-Scissor
Prinplup (Shadow),55.3,394,water,,116.9,120,137,1922422,40.0,1500,Bubble,Icy Wind,Hydro Pump
Arcanine (Hisuian),55.1,59,fire,rock,131.4,100.9,129,1710059,18.0,1500,Snarl,Wild Charge,Rock Slide
Quilava,55,156,fire,,124.6,111.2,130,1801048,42.0,1498,Ember,Flame Charge,Dig
Corphish (Shadow),54.9,341,water,,129.5,94.6,116,1420954,51.0,1357,Bubble,Aqua Jet,Vise Grip
Onix (Shadow),54.9,95,rock,ground,83,205,104,1769387,51.0,1215,Rock Throw,Rock Slide,Sand Tomb
Onix,54.7,95,rock,ground,83,205,104,1769387,51.0,1215,Rock Throw,Rock Slide,Sand Tomb
Pyroar,54.5,668,fire,normal,133.1,98.2,129,1685877,20.5,1500,Incinerate,Flame Charge,Dark Pulse
Beartic,54.4,614,ice,,133.8,95.3,132,1682593,18.5,1500,Powder Snow,Ice Punch,Liquidation
Flareon,54.4,136,fire,,141.2,111.4,101,1588544,18.5,1498,Ember,Superpower,Heat Wave
Quilava (Shadow),54.3,156,fire,,124.6,111.2,130,1801048,42.0,1498,Ember,Flame Charge,Dig
Torracat,54.3,726,fire,,133.9,90.8,137,1666890,38.0,1494,Ember,Flame Charge,Crunch
Corphish,54.2,341,water,,129.5,94.6,116,1420954,51.0,1357,Bubble,Aqua Jet,Vise Grip
Growlithe,54.2,58,fire,,125.3,89.6,133,1493981,51.0,1371,Ember,Flame Wheel,Body Slam
Archeops,54.1,567,rock,flying,159,83.6,106,1409042,16.5,1499,Wing Attack,Ancient Power,Crunch
Archen,53.9,566,rock,flying,157.9,76.4,118,1423473,31.5,1500,Wing Attack,Ancient Power,Crunch
Cloyster (Shadow),53.9,91,water,ice,117.9,169.9,95,1903425,23.0,1498,Ice Shard,Icy Wind,Liquidation
Golem (Shadow),53.7,76,rock,ground,123.3,123.9,119,1816930,19.0,1497,Mud Slap,Stone Edge,Earthquake
Houndoom (Shadow),53.5,229,dark,fire,137.8,97.8,120,1617976,21.5,1496,Snarl,Foul Play,Flamethrower
Cinderace,53.4,815,fire,,137.2,102.2,117,1640382,18.5,1500,Fire Spin,Blast Burn,Pyro Ball
Dwebble,53.4,557,bug,rock,110.4,118.7,126,1650634,51.0,1350,Smack Down,Rock Tomb,X-Scissor
Darmanitan (Standard) (Shadow),53,555,fire,,149,73.1,138,1502927,18.0,1500,Incinerate,Rock Slide,Overheat
Ponyta (Shadow),53,77,fire,,132.1,108.8,118,1695512,39.5,1497,Ember,Flame Wheel,Stomp
Seel,53,86,water,,83,112.9,147,1377047,51.0,1071,Water Gun,Aqua Tail,Icy Wind
Krabby (Shadow),52.8,98,water,,146.5,112.5,93,1532388,46.5,1498,Bubble,Vise Grip,Razor Shell
Octillery,52.7,224,water,,129.9,102.8,129,1723186,25.0,1497,Lock On,Octazooka,Gunk Shot
Dwebble (Shadow),52.3,557,bug,rock,110.4,118.7,126,1650634,51.0,1350,Smack Down,X-Scissor,Rock Tomb
Oricorio (Baile),52.2,741,fire,flying,129.2,104.2,129,1736419,25.0,1499,Air Slash,Air Cutter,Hurricane
Ho-Oh,52.1,250,fire,flying,121.6,130.7,116,1843807,14.5,1500,Incinerate,Brave Bird,Sacred Fire
Houndour,51.9,228,dark,fire,138.6,81.3,118,1330201,51.0,1361,Ember,Crunch,Flamethrower
Nosepass,51.6,299,rock,,80.5,190.9,97,1490610,51.0,1096,Rock Throw,Rock Slide,Rock Blast
Infernape,51.5,392,fire,fighting,135.8,101.1,120,1647341,21.0,1499,Fire Spin,Close Combat,Blast Burn
Geodude,51.4,74,rock,ground,122,122,112,1667037,51.0,1426,Rock Throw,Rock Tomb,Rock Slide
Gorebyss,51.4,368,water,,133.8,123,102,1678219,23.0,1498,Confusion,Water Pulse,Psychic
Seel (Shadow),51.3,86,water,,83,112.9,147,1377047,51.0,1071,Water Gun,Aqua Tail,Icy Wind
Totodile,50.9,158,water,,109.6,102.9,126,1420558,51.0,1248,Water Gun,Aqua Jet,Crunch
Darumaka (Galarian),50.8,554,ice,,131.1,83.8,155,1703738,51.0,1495,Ice Fang,Ice Punch,Ice Beam
Infernape (Shadow),50.8,392,fire,fighting,135.8,101.1,120,1647341,21.0,1499,Fire Spin,Close Combat,Blast Burn
Charmeleon,50.7,5,fire,,124.6,111.2,130,1801048,42.0,1498,Ember,Fire Punch,Return
Ponyta,50.7,77,fire,,132.1,108.8,118,1695512,39.5,1497,Ember,Flame Wheel,Stomp
Tatsugiri (Curly),50.5,978,dragon,water,136.7,109,110,1639659,20.5,1498,Water Gun,Surf,Outrage
Krabby,50.3,98,water,,146.5,112.5,93,1532388,46.5,1498,Bubble,Vise Grip,Razor Shell
Clauncher,50,692,water,,102.1,109.6,126,1409101,51.0,1200,Water Gun,Aqua Jet,Crabhammer
Drizzile,50,817,water,,136.1,93.7,129,1644291,31.0,1498,Water Gun,Surf,Water Pulse
Darmanitan (Standard),49.8,555,fire,,149,73.1,138,1502927,18.0,1500,Incinerate,Rock Slide,Overheat
Popplio,49.8,728,water,,112,97.9,126,1382544,51.0,1245,Water Gun,Aqua Tail,Aqua Jet
Frogadier,49.7,657,water,,132.9,101.4,125,1684846,41.5,1496,Bubble,Surf,Aerial Ace
Rampardos,49.7,409,rock,,162.3,67.3,127,1387159,16.5,1500,Smack Down,Rock Slide,Flamethrower
Roggenrola (Shadow),49.7,524,rock,,112.9,103.7,133,1557375,51.0,1328,Smack Down,Stone Edge,Rock Blast
Charmeleon (Shadow),49.5,5,fire,,124.6,111.2,130,1801048,42.0,1498,Ember,Fire Punch,Flamethrower
Totodile (Shadow),49.3,158,water,,109.6,102.9,126,1420558,51.0,1248,Water Gun,Aqua Jet,Crunch
Houndoom,49.2,229,dark,fire,137.8,97.8,120,1617976,21.5,1496,Snarl,Foul Play,Flamethrower
Roggenrola,48.8,524,rock,,112.9,103.7,133,1557375,51.0,1328,Smack Down,Stone Edge,Rock Blast
Nosepass (Shadow),48.6,299,rock,,80.5,190.9,97,1490610,51.0,1096,Rock Throw,Rock Slide,Rock Blast
Raboot,48.4,814,fire,,127.2,104,133,1760285,34.0,1497,Fire Spin,Flame Charge,Flamethrower
Darumaka (Shadow),47.8,554,fire,,131.1,83.8,155,1703738,51.0,1495,Fire Fang,Fire Punch,Flame Charge
Frogadier (Shadow),47.8,657,water,,132.9,101.4,125,1684846,41.5,1496,Bubble,Surf,Aerial Ace
Golem,47.7,76,rock,ground,123.3,123.9,119,1816930,19.0,1497,Mud Slap,Stone Edge,Earthquake
Piplup (Shadow),47.6,393,water,,105.4,97.1,130,1330533,51.0,1185,Bubble,Drill Peck,Icy Wind
Darumaka,47.4,554,fire,,131.1,83.8,155,1703738,51.0,1495,Fire Fang,Fire Punch,Flame Charge
Pupitar (Shadow),47.3,247,rock,ground,118.5,112.4,142,1891004,37.0,1497,Bite,Ancient Power,Dig
Ho-Oh (Shadow),46.1,250,fire,flying,121.6,130.7,116,1843807,14.5,1500,Incinerate,Brave Bird,Sacred Fire
Piplup,45.7,393,water,,105.4,97.1,130,1330533,51.0,1185,Bubble,Drill Peck,Icy Wind
Clawitzer,45.3,693,water,,133.1,112,113,1685156,20.5,1499,Water Gun,Crabhammer,Ice Beam
Bergmite,44.7,712,ice,,109.6,112,133,1632496,51.0,1340,Tackle,Icy Wind,Crunch
Darmanitan (Galarian),44.2,555,ice,,149,73.1,138,1502927,18.0,1500,Ice Fang,Avalanche,Superpower
Simisear,44,514,fire,,135.2,96.6,127,1658902,24.5,1499,Fire Spin,Crunch,Flamethrower
Fuecoco,43.2,909,fire,,105.4,92.1,151,1466210,51.0,1243,Incinerate,Crunch,Flamethrower
Entei,43,244,fire,,126.1,99.4,142,1779301,16.0,1498,Fire Fang,Flame Charge,Scorching Sands
Pupitar,42.6,247,rock,ground,118.5,112.4,142,1891004,37.0,1497,Bite,Ancient Power,Dig
Glaceon,42.2,471,ice,,134.8,123.5,100,1665509,18.0,1500,Ice Shard,Avalanche,Water Pulse
Anorith (Shadow),41.9,347,rock,bug,144,93.3,116,1559095,48.5,1500,Struggle Bug,Aqua Jet,Cross Poison
Entei (Shadow),39.9,244,fire,,126.1,99.4,142,1779301,16.0,1498,Fire Fang,Flame Charge,Scorching Sands
Anorith,33.6,347,rock,bug,144,93.3,116,1559095,48.5,1500,Struggle Bug,Aqua Jet,Ancient Power
Cranidos (Shadow),11.6,408,rock,,162.1,63.6,134,1382383,32.5,1500,Take Down,Rock Tomb,Ancient Power
Cranidos,10.9,408,rock,,162.1,63.6,134,1382383,32.5,1500,Take Down,Rock Tomb,Ancient Power
