Rank,Pokemon,Dex,Type1,Type2,Fast Move,Fast Move Type,Charged Move,Charged Move Type,DPS,TDO,ER,CP,Shadow,Mega
244,Kyogre,382,water,none,Waterfall,water,Origin Pulse,water,17.35,644,42.81,4115,false,false
245,Shadow Gyarados,130,flying,water,Waterfall,water,Hydro Pump,water,17.34,466,39.46,3391,true,false
246,Mega Ampharos,181,dragon,electric,Volt Switch,electric,Zap Cannon,electric,17.29,581,41.61,4245,false,true
247,Conkeldurr,534,fighting,none,Force Palm,fighting,Dynamic Punch,fighting,17.26,514,40.33,3337,false,false
248,Shadow Flygon,330,dragon,ground,Dragon Tail,dragon,Boomburst,normal,17.26,375,37.25,2661,true,false
249,Quaquaval,914,fighting,water,Water Gun,water,Hydro Cannon,water,17.25,444,38.86,3018,false,false
250,Galarian Darmanitan,555,ice,none,Ice Fang,ice,Avalanche,ice,17.25,383,37.45,3105,false,false
251,Shadow Victreebel,71,grass,poison,Magical Leaf,grass,Sludge Bomb,poison,17.22,306,35.36,2431,true,false
252,Shadow Kadabra,64,psychic,none,Confusion,psychic,Shadow Ball,ghost,17.21,177,30.83,2059,true,false
253,Electivire,466,electric,none,Thunder Shock,electric,Wild Charge,electric,17.20,417,38.17,3079,false,false
254,Hydreigon,635,dark,dragon,Bite,dark,Brutal Swing,dark,17.20,548,40.85,3625,false,false
255,Heatran,485,fire,steel,Fire Spin,fire,Magma Storm,fire,17.18,609,41.93,3754,false,false
256,Espeon,196,psychic,none,Confusion,psychic,Psychic,psychic,17.18,403,37.81,3170,false,false
257,Shadow Swanna,581,flying,water,Gust,flying,Fly,flying,17.17,286,34.69,2088,true,false
258,Tapu Bulu,787,fairy,grass,Bullet Seed,grass,Nature's Madness,fairy,17.16,512,40.12,3419,false,false
259,Excadrill,530,ground,steel,Metal Claw,steel,Scorching Sands,ground,17.16,441,38.63,3244,false,false
260,Glimmora,970,poison,rock,Rock Throw,rock,Meteor Beam,rock,17.16,480,39.46,3273,false,false
261,Greninja,658,dark,water,Water Shuriken,water,Hydro Cannon,water,17.14,379,37.18,2654,false,false
262,Raikou,243,electric,none,Thunder Shock,electric,Aura Sphere,fighting,17.13,554,40.86,3452,false,false
263,Urshifu - Rapid Strike Style,892,fighting,water,Counter,fighting,Dynamic Punch,fighting,17.13,548,40.72,3606,false,false
264,Urshifu - Single Strike Style,892,dark,fighting,Counter,fighting,Dynamic Punch,fighting,17.13,548,40.72,3606,false,false
265,Rillaboom,812,grass,none,Razor Leaf,grass,Frenzy Plant,grass,17.09,521,40.16,3324,false,false
266,Shadow Mismagius,429,ghost,none,Sucker Punch,dark,Shadow Ball,ghost,17.09,339,36.07,2615,true,false
267,Shadow Sawk,539,fighting,none,Low Kick,fighting,Focus Blast,fighting,17.06,325,35.63,2788,true,false
268,Vikavolt,738,bug,electric,Bug Bite,bug,Fly,flying,17.05,407,37.70,3117,false,false
269,Meloetta (Pirouette Forme),648,fighting,normal,Quick Attack,normal,Hyper Beam,normal,17.04,576,41.09,3915,false,false
270,Meowscarada,908,dark,grass,Leafage,grass,Frenzy Plant,grass,17.04,393,37.35,2825,false,false
271,Shadow Heliolisk,695,electric,normal,Quick Attack,normal,Thunderbolt,electric,17.02,312,35.20,2600,true,false
272,Shadow Shiftry,275,dark,grass,Snarl,dark,Leaf Blade,grass,17.01,297,34.77,2333,true,false
273,Zarude,893,dark,grass,Vine Whip,grass,Power Whip,grass,17.00,673,42.65,3833,false,false
274,Shadow Trevenant,709,ghost,grass,Shadow Claw,ghost,Shadow Ball,ghost,16.99,354,36.30,2559,true,false
275,Crawdaunt,342,dark,water,Snarl,dark,Crabhammer,water,16.98,324,35.49,2474,false,false
276,Shadow Rhydon,112,ground,rock,Mud Slap,ground,Earthquake,ground,16.98,453,38.60,3179,true,false
277,Sceptile,254,grass,none,Fury Cutter,bug,Frenzy Plant,grass,16.98,406,37.54,2757,false,false
278,Shadow Bewear,760,fighting,normal,Tackle,normal,Superpower,fighting,16.98,421,37.89,3117,true,false
279,Kingler,99,water,none,Bubble,water,Crabhammer,water,16.92,371,36.60,2829,false,false
280,Victini,494,fire,psychic,Confusion,psychic,V-create,fire,16.92,634,41.86,3265,false,false
281,Gigalith,526,rock,none,Lock-On,normal,Meteor Beam,rock,16.90,540,40.17,3228,false,false
282,Delphox,655,fire,psychic,Fire Spin,fire,Blast Burn,fire,16.89,469,38.78,3059,false,false
283,Shadow Granbull,210,fairy,none,Charm,fairy,Play Rough,fairy,16.85,316,35.06,2552,true,false
284,Shadow Starmie,121,psychic,water,Psywave,psychic,Psychic,psychic,16.83,329,35.40,2584,true,false
285,Mega Scolipede,545,bug,poison,Poison Jab,poison,Sludge Bomb,poison,16.82,534,39.92,3632,false,true
286,Braviary,628,flying,normal,Air Slash,flying,Fly,flying,16.79,467,38.57,3088,false,false
287,Tyranitar,248,dark,rock,Bite,dark,Brutal Swing,dark,16.79,621,41.40,3834,false,false
288,Roserade,407,grass,poison,Poison Jab,poison,Grass Knot,grass,16.76,395,36.93,2971,false,false
289,Shadow Accelgor,617,bug,none,Infestation,bug,Bug Buzz,bug,16.75,268,33.51,2441,true,false
290,Giratina (Origin Forme),487,dragon,ghost,Dragon Tail,dragon,Shadow Force,ghost,16.75,702,42.61,3683,false,false
291,Shadow Magneton,82,electric,steel,Thunder Shock,electric,Magnet Bomb,steel,16.71,270,33.50,2485,true,false
292,Shadow Fraxure,611,dragon,none,Dragon Tail,dragon,Dragon Claw,dragon,16.70,240,32.51,2234,true,false
293,Xerneas,716,fairy,none,Geomancy,fairy,Giga Impact,normal,16.70,605,40.96,3781,false,false
294,Nihilego,793,poison,rock,Poison Jab,poison,Sludge Bomb,poison,16.67,664,41.88,3949,false,false
295,Tornadus (Therian Forme),641,flying,none,Gust,flying,Bleakwind Storm,flying,16.67,479,38.60,3215,false,false
296,Shadow Scyther,123,bug,flying,Fury Cutter,bug,Bug Buzz,bug,16.67,334,35.25,2706,true,false
297,Shadow Aerodactyl,142,flying,rock,Rock Throw,rock,Rock Slide,rock,16.66,344,35.50,2783,true,false
298,Shadow Escavalier,589,bug,steel,Bug Bite,bug,Megahorn,bug,16.65,364,36.00,2889,true,false
299,Shadow Scolipede,545,bug,poison,Poison Jab,poison,Sludge Bomb,poison,16.65,311,34.61,2447,true,false
300,Weavile,461,dark,ice,Snarl,dark,Avalanche,ice,16.64,402,36.88,3005,false,false
301,Gholdengo,1000,ghost,steel,Hex,ghost,Shadow Ball,ghost,16.64,514,39.21,3517,false,false
302,Samurott,503,water,none,Fury Cutter,bug,Hydro Cannon,water,16.64,459,38.12,2826,false,false
303,Shadow Talonflame,663,fire,flying,Fire Spin,fire,Fly,flying,16.61,328,35.03,2205,true,false
304,Infernape,392,fighting,fire,Fire Spin,fire,Blast Burn,fire,16.61,379,36.30,2683,false,false
305,Porygon-Z,474,normal,none,Lock-On,normal,Hyper Beam,normal,16.60,405,36.89,3266,false,false
306,Mienshao,620,fighting,none,Force Palm,fighting,Grass Knot,grass,16.59,291,33.95,2710,false,false
307,Lugia,249,flying,psychic,Extrasensory,psychic,Aeroblast++,flying,16.57,935,45.42,3703,false,false
308,Zoroark,571,dark,none,Snarl,dark,Foul Play,dark,16.54,277,33.47,2571,false,false
309,Primarina,730,fairy,water,Charm,fairy,Hydro Cannon,water,16.54,494,38.67,3200,false,false
310,Miraidon,1008,dragon,electric,Thunder Shock,electric,Outrage,dragon,16.54,601,40.60,3973,false,false
311,Azelf,482,psychic,none,Confusion,psychic,Future Sight,psychic,16.54,373,36.04,3210,false,false
312,Mamoswine,473,ice,ground,Mud Slap,ground,Avalanche,ice,16.54,475,38.28,3328,false,false
313,Charizard,6,fire,flying,Fire Spin,fire,Blast Burn,fire,16.53,434,37.41,2889,false,false
314,Shadow Aurorus,699,ice,rock,Rock Throw,rock,Meteor Beam,rock,16.52,476,38.27,2802,true,false
315,Mega Scizor,212,bug,steel,Fury Cutter,bug,X-Scissor,bug,16.52,568,40.00,4087,false,true
316,Tyrantrum,697,dragon,rock,Dragon Tail,dragon,Meteor Beam,rock,16.49,490,38.51,3128,false,false
317,Shadow Nidoking,34,ground,poison,Poison Jab,poison,Earth Power,ground,16.46,335,34.97,2567,true,false
318,Ho-Oh,250,fire,flying,Incinerate,fire,Sacred Fire++,fire,16.46,678,41.69,3863,false,false
319,Incineroar,727,dark,fire,Snarl,dark,Blast Burn,fire,16.44,501,38.61,2996,false,false
320,Rhyperior,464,ground,rock,Mud Slap,ground,Rock Wrecker,rock,16.44,622,40.77,3733,false,false
321,Mega Falinks,870,fighting,none,Counter,fighting,Superpower,fighting,16.40,494,38.43,3670,false,true
322,Polteageist,855,ghost,none,Sucker Punch,dark,Shadow Ball,ghost,16.36,394,36.24,3058,false,false
323,Darmanitan (Zen Mode),555,fire,psychic,Fire Fang,fire,Psychic,psychic,16.32,610,40.35,3738,false,false
324,Shadow Aggron,306,rock,steel,Metal Sound,steel,Meteor Beam,rock,16.31,480,37.98,3000,true,false
325,Shadow Crustle,558,bug,rock,Fury Cutter,bug,Rock Wrecker,rock,16.28,379,35.75,2542,true,false
326,Shadow Giratina (Altered Forme),487,dragon,ghost,Dragon Breath,dragon,Shadow Force,ghost,16.27,675,41.31,3379,true,false
327,Pawmot,923,electric,fighting,Thunder Shock,electric,Wild Charge,electric,16.27,329,34.50,2634,false,false
328,Empoleon,395,steel,water,Metal Claw,steel,Hydro Cannon,water,16.23,480,37.85,2900,false,false
329,Shadow Donphan,232,ground,none,Mud Slap,ground,Earthquake,ground,16.23,417,36.53,3013,true,false
330,Flareon,136,fire,none,Fire Spin,fire,Overheat,fire,16.20,388,35.84,3029,false,false
331,Mega Abomasnow,460,grass,ice,Leafage,grass,Weather Ball Ice,ice,16.17,513,38.38,3405,false,true
332,Shadow Drifblim,426,flying,ghost,Hex,ghost,Shadow Ball,ghost,16.17,358,35.06,2382,true,false
333,Melmetal,809,steel,none,Thunder Shock,electric,Double Iron Bash,steel,16.16,641,40.56,3599,false,false
334,Mega Clefable,36,fairy,flying,Charm,fairy,Meteor Mash,steel,16.14,569,39.34,3773,false,true
335,Shadow Vileplume,45,grass,poison,Acid,poison,Sludge Bomb,poison,16.14,333,34.40,2559,true,false
336,Jirachi,385,psychic,steel,Confusion,psychic,Doom Desire,steel,16.11,604,39.87,3265,false,false
337,Shadow Golem,76,ground,rock,Rock Throw,rock,Earthquake,ground,16.08,406,36.05,2949,true,false
338,Ceruledge,937,fire,ghost,Incinerate,fire,Shadow Ball,ghost,16.07,446,36.88,3172,false,false
339,Shadow Swellow,277,flying,normal,Wing Attack,flying,Sky Attack,flying,16.07,220,30.90,1920,true,false
340,Typhlosion,157,fire,none,Incinerate,fire,Blast Burn,fire,16.07,421,36.36,2889,false,false
341,Mega Tatsugiri,978,dragon,water,Water Gun,water,Outrage,dragon,16.07,507,38.07,3688,false,true
342,Shadow Tangela,114,grass,none,Vine Whip,grass,Grass Knot,grass,16.03,304,33.44,2238,true,false
343,Landorus (Incarnate Forme),645,flying,ground,Mud Shot,ground,Earth Power,ground,16.02,482,37.53,3588,false,false
344,Luxray,405,electric,none,Snarl,dark,Wild Charge,electric,16.02,390,35.58,2888,false,false
345,Flamigo,973,fighting,flying,Double Kick,fighting,Brave Bird,flying,16.02,370,35.12,2757,false,false
346,Hawlucha,701,fighting,flying,Low Kick,fighting,Flying Press,fighting,16.02,375,35.25,2410,false,false
347,Cacturne,332,dark,grass,Sucker Punch,dark,Grass Knot,grass,15.99,270,32.41,2298,false,false
348,Marshadow,802,fighting,ghost,Counter,fighting,Close Combat,fighting,15.99,505,37.91,3730,false,false
349,Entei,244,fire,none,Fire Spin,fire,Overheat,fire,15.98,549,38.69,3473,false,false
350,Mega Glalie,362,ice,none,Frost Breath,ice,Avalanche,ice,15.98,416,36.10,3229,false,true
351,Shadow Noivern,715,dragon,flying,Air Slash,flying,Boomburst,normal,15.97,374,35.12,2764,true,false
352,Shadow Gastly,92,ghost,poison,Lick,ghost,Sludge Bomb,poison,15.96,89,24.50,1229,true,false
353,Palafin (Hero Form),964,water,none,Waterfall,water,Acrobatics,flying,15.96,470,37.17,3963,false,false
354,Machamp,68,fighting,none,Counter,fighting,Dynamic Punch,fighting,15.95,428,36.29,3056,false,false
355,Mega Golisopod,768,bug,steel,Metal Claw,steel,Razor Shell,water,15.94,655,40.35,4178,false,true
356,Toxtricity,849,electric,poison,Poison Jab,poison,Wild Charge,electric,15.93,336,34.12,2601,false,false
357,Chi-Yu,1004,dark,fire,Snarl,dark,Dark Pulse,dark,15.92,420,36.07,3457,false,false
358,Mega Camerupt,323,fire,ground,Incinerate,fire,Earth Power,ground,15.92,409,35.83,3220,false,true
359,Zapdos,145,electric,flying,Thunder Shock,electric,Thunderbolt,electric,15.91,490,37.48,3527,false,false
360,Genesect,649,bug,steel,Metal Claw,steel,Magnet Bomb,steel,15.89,446,36.57,3353,false,false
361,Genesect (Burn),649,bug,steel,Metal Claw,steel,Magnet Bomb,steel,15.89,446,36.57,3353,false,false
362,Genesect (Chill),649,bug,steel,Metal Claw,steel,Magnet Bomb,steel,15.89,446,36.57,3353,false,false
363,Genesect (Douse),649,bug,steel,Metal Claw,steel,Magnet Bomb,steel,15.89,446,36.57,3353,false,false
364,Genesect (Shock),649,bug,steel,Metal Claw,steel,Magnet Bomb,steel,15.89,446,36.57,3353,false,false
365,Volcanion,721,fire,water,Water Gun,water,Overheat,fire,15.89,522,38.04,3628,false,false
366,Shadow Primeape,57,fighting,none,Counter,fighting,Rage Fist,ghost,15.88,250,31.64,2288,true,false
367,Hisuian Samurott,503,dark,water,Snarl,dark,Razor Shell,water,15.88,409,35.76,2802,false,false
368,Haunter,93,ghost,poison,Lick,ghost,Shadow Ball,ghost,15.88,192,29.62,1963,false,false
369,Shadow Skuntank,435,dark,poison,Poison Jab,poison,Sludge Bomb,poison,15.84,330,33.84,2358,true,false
370,Meloetta (Aria Forme),648,normal,psychic,Quick Attack,normal,Hyper Beam,normal,15.83,633,39.80,3972,false,false
371,Shadow Meganium,154,grass,none,Vine Whip,grass,Frenzy Plant,grass,15.82,407,35.64,2410,true,false
372,Shadow Galvantula,596,bug,electric,Fury Cutter,bug,Discharge,electric,15.82,245,31.38,2206,true,false
373,Magnezone,462,electric,steel,Volt Switch,electric,Wild Charge,electric,15.81,451,36.54,3205,false,false
374,Shadow Hippowdon,450,ground,none,Sand Attack,ground,Earth Power,ground,15.80,478,37.05,3085,true,false
375,Hisuian Typhlosion,157,fire,ghost,Hex,ghost,Shadow Ball,ghost,15.80,394,35.29,2994,false,false
376,Exeggutor,103,grass,psychic,Confusion,psychic,Psychic,psychic,15.79,415,35.76,3014,false,false
377,Alolan Exeggutor,103,dragon,grass,Dragon Tail,dragon,Draco Meteor,dragon,15.79,425,35.97,3014,false,false
378,Decidueye,724,ghost,grass,Magical Leaf,grass,Frenzy Plant,grass,15.79,427,36.00,2775,false,false
379,Dhelmise,781,ghost,grass,Shadow Claw,ghost,Shadow Ball,ghost,15.76,397,35.29,2950,false,false
380,Shadow Ambipom,424,normal,none,Scratch,normal,Hyper Beam,normal,15.75,282,32.41,2418,true,false
381,Hisuian Braviary,628,flying,psychic,Air Slash,flying,Fly,flying,15.74,427,35.92,2814,false,false
382,Archeops,567,flying,rock,Wing Attack,flying,Ancient Power,rock,15.74,330,33.67,3331,false,false
383,Zacian - Hero of Many Battles,888,fairy,none,Snarl,dark,Play Rough,fairy,15.71,566,38.48,3829,false,false
384,Mega Dragalgae,691,dragon,poison,Dragon Tail,dragon,Sludge Bomb,poison,15.70,543,38.08,3499,false,true
385,Shadow Reuniclus,579,psychic,none,Zen Headbutt,psychic,Shadow Ball,ghost,15.68,380,34.78,2927,true,false
386,Mega Crabominable,740,fighting,ice,Bubble,water,Crabhammer,water,15.67,580,38.66,4053,false,true
387,Sneasler,903,fighting,poison,Poison Jab,poison,Close Combat,fighting,15.67,386,34.90,3222,false,false
388,Gallade,475,fighting,psychic,Confusion,psychic,Psychic,psychic,15.65,420,35.60,3093,false,false
389,Gardevoir,282,fairy,psychic,Confusion,psychic,Psychic,psychic,15.65,420,35.60,3093,false,false
390,Kingambit,983,dark,steel,Snarl,dark,Foul Play,dark,15.63,568,38.37,3614,false,false
391,Mega Barbaracle,689,rock,fighting,Fury Cutter,bug,Grass Knot,grass,15.63,545,37.98,3961,false,true
392,Sirfetch'd,865,fighting,none,Counter,fighting,Brave Bird,flying,15.63,358,34.19,2985,false,false
393,Hatterene,858,fairy,psychic,Confusion,psychic,Psychic,psychic,15.62,350,33.98,2829,false,false
394,Kleavor,900,bug,rock,Fury Cutter,bug,Rock Slide,rock,15.61,383,34.74,3146,false,false
395,Latias,380,dragon,psychic,Dragon Breath,dragon,Aura Sphere,fighting,15.55,577,38.38,3510,false,false
396,Shadow Armaldo,348,bug,rock,Fury Cutter,bug,Rock Blast,rock,15.54,333,33.43,2848,true,false
397,Shadow Hitmonlee,106,fighting,none,Double Kick,fighting,Blaze Kick,fire,15.53,268,31.64,2576,true,false
398,Annihilape,979,fighting,ghost,Counter,fighting,Shadow Ball,ghost,15.53,535,37.62,3268,false,false
399,Sinistcha,1013,ghost,grass,Magical Leaf,grass,Shadow Ball,ghost,15.50,419,35.35,2957,false,false
400,Hariyama,297,fighting,none,Force Palm,fighting,Dynamic Punch,fighting,15.50,440,35.77,2829,false,false
401,Shadow Alolan Muk,89,dark,poison,Snarl,dark,Gunk Shot,poison,15.49,415,35.25,2757,true,false
402,Clawitzer,693,water,none,Water Gun,water,Crabhammer,water,15.49,378,34.42,2763,false,false
403,Golisopod,768,bug,water,Fury Cutter,bug,Razor Shell,water,15.45,507,36.98,3162,false,false
404,Shadow Exploud,295,normal,none,Bite,dark,Boomburst,normal,15.45,335,33.35,2347,true,false
405,Shadow Omastar,139,rock,water,Rock Throw,rock,Hydro Pump,water,15.42,360,33.90,2786,true,false
406,Shadow Electabuzz,125,electric,none,Thunder Shock,electric,Thunderbolt,electric,15.42,275,31.67,2334,true,false
407,Galarian Moltres,146,dark,flying,Sucker Punch,dark,Fly,flying,15.41,584,38.25,3167,false,false
408,Scovillain,952,fire,grass,Fire Fang,fire,Grass Knot,grass,15.41,276,31.70,2317,false,false
409,Chesnaught,652,fighting,grass,Vine Whip,grass,Frenzy Plant,grass,15.40,513,36.99,2954,false,false
410,Shadow Ampharos,181,electric,none,Volt Switch,electric,Zap Cannon,electric,15.40,364,33.95,2852,true,false
411,Manectric,310,electric,none,Thunder Fang,electric,Wild Charge,electric,15.39,284,31.90,2340,false,false
412,Swampert,260,ground,water,Water Gun,water,Hydro Cannon,water,15.36,486,36.44,2974,false,false
413,Shadow Alolan Dugtrio,51,ground,steel,Metal Claw,steel,Earthquake,ground,15.35,176,28.23,1897,true,false
414,Mega Scrafty,560,dark,fighting,Snarl,dark,Foul Play,dark,15.34,533,37.24,3534,false,true
415,Togekiss,468,fairy,flying,Charm,fairy,Aura Sphere,fighting,15.34,526,37.12,3332,false,false
416,Shadow Krabby,98,water,none,Bubble,water,Razor Shell,water,15.34,144,26.86,1561,true,false
417,Tsareena,763,grass,none,Magical Leaf,grass,Grass Knot,grass,15.34,427,35.23,2964,false,false
418,Shadow Crobat,169,flying,poison,Air Slash,flying,Sludge Bomb,poison,15.34,365,33.86,2646,true,false
419,Shadow Camerupt,323,fire,ground,Incinerate,fire,Earth Power,ground,15.33,250,30.82,2193,true,false
420,Ursaluna,901,ground,normal,Tackle,normal,High Horsepower,ground,15.33,609,38.49,3854,false,false
421,Bombirdier,962,dark,flying,Sucker Punch,dark,Fly,flying,15.33,372,34.02,2487,false,false
422,Shadow Blastoise,9,water,none,Water Gun,water,Hydro Cannon,water,15.31,399,34.59,2466,true,false
423,Magmortar,467,fire,none,Fire Spin,fire,Fire Blast,fire,15.30,389,34.37,3132,false,false
424,Necrozma,800,psychic,none,Psycho Cut,psychic,Future Sight,psychic,15.28,521,36.91,3682,false,false
425,Sharpedo,319,dark,water,Bite,dark,Hydro Pump,water,15.27,194,28.83,2181,false,false
426,Shadow Porygon2,233,normal,none,Lock-On,normal,Hyper Beam,normal,15.27,367,33.80,2711,true,false
427,Shadow Abomasnow,460,grass,ice,Leafage,grass,Weather Ball Ice,ice,15.26,339,33.13,2362,true,false
428,Shadow Muk,89,poison,none,Poison Jab,poison,Gunk Shot,poison,15.26,409,34.72,2757,true,false
429,Shadow Girafarig,203,normal,psychic,Confusion,psychic,Psychic,psychic,15.25,244,30.50,2046,true,false
430,Shadow Weepinbell,70,grass,poison,Acid,poison,Power Whip,grass,15.25,168,27.78,1611,true,false
431,Venusaur,3,grass,poison,Vine Whip,grass,Frenzy Plant,grass,15.24,442,35.37,2720,false,false
432,Kommo-o,784,dragon,fighting,Dragon Tail,dragon,Boomburst,normal,15.22,528,36.94,3309,false,false
433,Krookodile,553,dark,ground,Snarl,dark,Earthquake,ground,15.22,422,34.93,3046,false,false
434,Unfezant,521,flying,normal,Air Slash,flying,Sky Attack,flying,15.22,349,33.29,2734,false,false
435,Mega Aggron,306,steel,none,Iron Tail,steel,Meteor Beam,rock,15.21,683,39.38,4162,false,true
436,Shadow Poliwrath,62,fighting,water,Counter,fighting,Dynamic Punch,fighting,15.21,389,34.20,2586,true,false
437,Drampa,780,dragon,normal,Dragon Breath,dragon,Fly,flying,15.21,380,34.00,2914,false,false
438,Shadow Serperior,497,grass,none,Vine Whip,grass,Frenzy Plant,grass,15.21,378,33.95,2277,true,false
439,Wishiwashi (School Form),746,water,none,Waterfall,water,Surf,water,15.21,388,34.17,3232,false,false
440,Banette,354,ghost,none,Shadow Claw,ghost,Shadow Ball,ghost,15.19,263,30.99,2298,false,false
441,Shadow Kingdra,230,dragon,water,Dragon Breath,dragon,Outrage,dragon,15.18,360,33.49,2641,true,false
442,Brambleghast,947,ghost,grass,Hex,ghost,Power Whip,grass,15.18,270,31.15,2428,false,false
443,Shadow Kabutops,141,rock,water,Waterfall,water,Stone Edge,rock,15.17,300,31.98,2713,true,false
444,Shadow Sneasel,215,dark,ice,Feint Attack,dark,Avalanche,ice,15.17,227,29.84,2051,true,false
445,Skeledirge,911,fire,ghost,Incinerate,fire,Blast Burn,fire,15.12,500,36.27,3027,false,false
446,Shadow Machoke,67,fighting,none,Karate Chop,fighting,Dynamic Punch,fighting,15.12,251,30.52,2031,true,false
447,Shadow Duosion,578,psychic,none,Zen Headbutt,psychic,Psyshock,psychic,15.11,184,28.21,2018,true,false
448,Overqwil,904,dark,poison,Poison Jab,poison,Sludge Bomb,poison,15.11,415,34.59,2946,false,false
449,Celebi,251,grass,psychic,Magical Leaf,grass,Aura Sphere,fighting,15.08,565,37.31,3265,false,false
450,Simisage,512,grass,none,Vine Whip,grass,Grass Knot,grass,15.07,303,31.91,2350,false,false
451,Grimmsnarl,861,dark,fairy,Sucker Punch,dark,Play Rough,fairy,15.04,371,33.52,2850,false,false
452,Duraludon,884,dragon,steel,Dragon Tail,dragon,Dragon Claw,dragon,15.02,390,33.90,3067,false,false
453,Feraligatr,160,water,none,Water Gun,water,Hydro Cannon,water,15.02,451,35.15,2857,false,false
454,Pyroar,668,fire,normal,Fire Fang,fire,Overheat,fire,14.99,367,33.34,2767,false,false
455,Jynx,124,ice,psychic,Confusion,psychic,Avalanche,ice,14.96,307,31.84,2555,false,false
456,Houndoom,229,dark,fire,Snarl,dark,Foul Play,dark,14.96,324,32.26,2635,false,false
457,Shadow Cranidos,408,rock,none,Zen Headbutt,psychic,Ancient Power,rock,14.94,135,25.91,1820,true,false
458,Heracross,214,bug,fighting,Fury Cutter,bug,Megahorn,bug,14.92,412,34.19,3101,false,false
459,Tangrowth,465,grass,none,Vine Whip,grass,Power Whip,grass,14.91,494,35.77,3030,false,false
460,Glaceon,471,ice,none,Frost Breath,ice,Avalanche,ice,14.88,405,33.98,3126,false,false
461,Glastrier,896,ice,none,Tackle,normal,Avalanche,ice,14.88,590,37.33,3895,false,false
462,Torterra,389,grass,ground,Mud Slap,ground,Frenzy Plant,grass,14.87,484,35.52,2934,false,false
463,Thundurus  (Incarnate Forme),642,electric,flying,Thunder Shock,electric,Thunder Punch,electric,14.87,375,33.31,3345,false,false
464,Shadow Politoed,186,water,none,Bubble,water,Weather Ball Water,water,14.86,370,33.19,2449,true,false
465,Beheeyem,606,psychic,none,Confusion,psychic,Psychic,psychic,14.85,360,32.94,2753,false,false
466,Shadow Carracosta,565,rock,water,Rock Throw,rock,Surf,water,14.84,353,32.77,2621,true,false
467,Revavroom,966,poison,steel,Poison Jab,poison,Gunk Shot,poison,14.84,386,33.52,2951,false,false
468,Buzzwole,794,bug,fighting,Counter,fighting,Superpower,fighting,14.84,504,35.82,3469,false,false
469,Shadow Snorlax,143,normal,none,Lick,ghost,Hyper Beam,normal,14.78,543,36.39,3225,true,false
470,Mega Slowbro,80,psychic,water,Confusion,psychic,Psychic,psychic,14.77,649,38.01,3755,false,true
471,Shadow Wailord,321,water,none,Water Gun,water,Surf,water,14.73,315,31.66,2280,true,false
472,Ursaring,217,normal,none,Metal Claw,steel,Hyper Beam,normal,14.73,361,32.76,2945,false,false
473,Zebstrika,523,electric,none,Spark,electric,Wild Charge,electric,14.71,252,29.92,2428,true,false
474,Shadow Slowbro,80,psychic,water,Confusion,psychic,Psychic,psychic,14.70,383,33.21,2545,true,false
475,Shadow Slowking,199,psychic,water,Confusion,psychic,Psychic,psychic,14.70,383,33.21,2545,true,false
476,Hisuian Arcanine,59,fire,rock,Fire Fang,fire,Rock Slide,rock,14.68,424,34.03,3145,false,false
477,Toxicroak,454,fighting,poison,Poison Jab,poison,Dynamic Punch,fighting,14.66,316,31.58,2488,false,false
478,Shadow Ninetales,38,fire,none,Fire Spin,fire,Weather Ball Fire,fire,14.65,333,31.99,2279,true,false
479,Shaymin (Land Forme),492,grass,none,Magical Leaf,grass,Grass Knot,grass,14.64,549,36.23,3265,false,false
480,Cobalion,638,fighting,steel,Metal Claw,steel,Sacred Sword,fighting,14.64,555,36.33,3022,false,false
481,Shadow Nidoqueen,31,ground,poison,Poison Jab,poison,Earth Power,ground,14.63,353,32.43,2488,true,false
482,Shadow Piloswine,221,ground,ice,Ice Shard,ice,Avalanche,ice,14.62,310,31.38,2345,true,false
483,Shadow Archen,566,flying,rock,Wing Attack,flying,Ancient Power,rock,14.62,142,25.78,1842,true,false
484,Jolteon,135,electric,none,Thunder Shock,electric,Thunderbolt,electric,14.61,356,32.45,2888,false,false
485,Shadow Cloyster,91,ice,water,Frost Breath,ice,Razor Shell,water,14.60,348,32.26,2547,true,false
486,Yanmega,469,bug,flying,Bug Bite,bug,Bug Buzz,bug,14.59,372,32.80,2946,false,false
487,Guzzlord,799,dark,dragon,Snarl,dark,Brutal Swing,dark,14.58,525,35.71,2887,false,false
488,Mega Chimecho,358,psychic,steel,Extrasensory,psychic,Shadow Ball,ghost,14.57,482,34.95,3530,false,true
489,Shadow Magmar,126,fire,none,Karate Chop,fighting,Flamethrower,fire,14.56,253,29.74,2394,true,false
490,Shadow Articuno,144,flying,ice,Frost Breath,ice,Triple Axel,ice,14.56,469,34.69,3051,true,false
491,Alolan Golem,76,electric,rock,Rollout,rock,Wild Charge,electric,14.54,441,34.12,2949,false,false
492,Pinsir,127,bug,none,Fury Cutter,bug,X-Scissor,bug,14.52,353,32.24,2959,false,false
493,Shadow Grovyle,253,grass,none,Quick Attack,normal,Grass Knot,grass,14.49,172,26.90,1673,true,false
494,Virizion,640,fighting,grass,Double Kick,fighting,Sacred Sword,fighting,14.49,550,35.96,3022,false,false
495,Farigiraf,981,normal,psychic,Confusion,psychic,Psychic,psychic,14.48,417,33.56,2850,false,false
496,Shadow Drapion,452,dark,poison,Bite,dark,Sludge Bomb,poison,14.48,340,31.88,2453,true,false
