Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Stufful (Shadow),72.5,759,normal,fighting,70,55,92,353999,14,500,Tackle,Brick Break,Frustration<sup>†</sup>,14,24,1,10000
Caterpie (Shadow),72.3,10,bug,none,58.8,58.8,120,415189,50,494,Bug Bite,Frustration<sup>†</sup>,Struggle,24,34,1,10000
Palossand,72.3,770,ghost,ground,68.3,70.5,76,366143,8,500,Astonish,Earth Power,Sand Tomb,5,4,3,50000
Turtonator,72.3,776,fire,dragon,65.5,89.1,65,379558,8.5,500,Ember,Brutal Swing,Dragon Claw,4,6,5,75000
Venipede,72.3,543,bug,poison,61.3,81.3,82,408886,28.5,500,Bug Bite,Gyro Ball,Return<sup>†</sup>,17,24,1,10000
Carracosta,72.2,565,water,rock,71,73.9,67,351946,7.5,500,Rock Throw,Ancient Power,Body Slam,9,7,5,75000
Golett,72.2,622,ground,ghost,70.5,57.2,88,354894,16,500,Astonish,Brick Break,Night Shade,4,5,5,75000
Pancham,72.2,674,fighting,none,71.3,57.6,85,349348,12.5,499,Low Kick,Body Slam,Crunch,5,6,3,50000
Scizor,72.2,212,bug,steel,80.5,63.4,61,311348,6.5,500,Bullet Punch,Iron Head,Night Slash,8,5,5,75000
Snorunt,72.2,361,ice,none,62,68.9,94,401875,22,500,Hex,Avalanche,Icy Wind,4,4,3,50000
Tropius,72.2,357,grass,flying,59.2,72.2,99,423071,10,500,Air Slash,Aerial Ace,Brutal Swing,5,4,5,75000
Corsola,71.9,222,water,rock,61,84.5,79,406975,14,499,Bubble,Bubble Beam,Power Gem,4,5,3,50000
Drifblim,71.9,426,ghost,flying,69,43.9,119,360710,8,499,Astonish,Icy Wind,Mystical Fire,5,5,5,75000
Dunsparce,71.9,206,normal,none,61.2,63,106,408287,11.5,500,Astonish,Dig,Drill Run,5,4,3,50000
Nacli,71.9,932,rock,none,59.9,72.6,96,417201,20.5,500,Mud Shot,Ancient Power,Rock Blast,5,5,5,50000
Rockruff,71.9,744,rock,none,72.3,55.6,85,341364,20,497,Rock Throw,Crunch,Rock Tomb,9,10,5,50000
Seaking,71.9,119,water,none,70.9,62.8,79,351839,8.5,499,Peck,Drill Run*,Ice Beam,5,7,3,50000
Yamask,71.9,562,ghost,none,59.1,91.4,78,421650,20,500,Astonish,Dark Pulse,Ominous Wind,5,5,3,50000
Yamask (Shadow),71.9,562,ghost,none,59.1,91.4,78,421650,20,500,Astonish,Dark Pulse,Frustration<sup>†</sup>,5,7,3,50000
Geodude (Alolan),71.7,74,rock,electric,69.3,76.1,68,358570,15,499,Rock Throw,Rock Slide,Rock Tomb,9,10,1,10000
Golett (Shadow),71.7,622,ground,ghost,70.5,57.2,88,354894,16,500,Astonish,Brick Break,Frustration<sup>†</sup>,4,7,5,75000
Noibat (Shadow),71.6,714,flying,dragon,63.1,63.9,97,390966,29.5,499,Bite,Air Cutter,Dragon Pulse,18,28,5,75000
Trumbeak,71.6,732,normal,flying,77.6,53.9,77,322152,13,500,Peck,Drill Peck,Rock Blast,5,5,1,10000
Cyndaquil,71.4,155,fire,none,71.4,63.7,77,350138,19.5,500,Ember,Swift,Flame Charge,4,6,3,10000
Magcargo,71.4,219,fire,rock,63.8,90.8,67,388338,11,499,Ember,Heat Wave,Overheat,5,7,1,10000
Toxicroak,71.4,454,poison,fighting,78.7,53.3,76,318497,7.5,500,Counter,Drain Punch,Dynamic Punch,7,8,3,50000
Celesteela,71.3,797,steel,flying,69.4,68.7,75,357418,6,498,Air Slash,Body Slam,Bulldoze,4,5,20,100000
Glimmet,71.3,969,rock,poison,85.1,52.3,66,293593,11,499,Rock Throw,Dazzling Gleam,Power Gem,11,10,3,50000
Graveler (Alolan),71.3,75,rock,electric,70.1,75.6,67,355377,10,499,Rock Throw,Rock Blast,Stone Edge,8,11,1,10000
Pumpkaboo (Super),71.3,710,ghost,grass,64.2,70.5,86,388902,15.5,500,Astonish,Grass Knot,Foul Play,5,4,5,75000
Steelix (Shadow),71.3,208,steel,ground,57,105.4,73,439016,8,500,Dragon Tail,Breaking Swipe,Crunch,5,4,5,75000
Croagunk,71.1,453,poison,fighting,72.3,53.8,89,345898,20,500,Mud Shot,Brick Break,Low Sweep,5,5,3,50000
Dachsbun,71.1,927,fairy,none,65.1,90.3,65,382287,9,499,Bite,Body Slam,Play Rough,18,30,3,50000
Steelix,71.1,208,steel,ground,57,105.4,73,439016,8,500,Dragon Tail,Breaking Swipe,Crunch,5,4,5,75000
Stufful,71.1,759,normal,fighting,70,55,92,353999,14,500,Tackle,Brick Break,Stomp,14,14,1,10000
Yamper,71.1,835,electric,none,56.1,70.1,112,440711,25,497,Bite,Crunch,Thunder,23,30,1,50000
Greavard,71,971,ghost,none,64.1,69.9,87,389364,19,500,Bite,Dig,Psychic Fangs,25,18,3,50000
Slurpuff,71,685,fairy,none,67.1,69,80,370089,8.5,500,Charm,Draining Kiss,Energy Ball,7,6,3,50000
Crustle,70.8,558,bug,rock,70,76.5,67,358451,7.5,500,Fury Cutter,Rock Blast,Rock Slide,10,12,1,10000
Dewott (Shadow),70.8,502,water,none,72.2,57.6,83,345324,11,500,Fury Cutter,Aqua Tail,Frustration<sup>†</sup>,9,18,3,10000
Geodude,70.8,74,rock,ground,69.3,76.1,68,358570,15,499,Rock Throw,Dig,Rock Slide,10,9,1,10000
Qwilfish (Hisuian),70.8,211,dark,poison,75.1,62.3,71,332446,9,500,Poison Jab,Aqua Tail,Dark Pulse,5,8,3,50000
Stonjourner,70.8,874,rock,none,72.6,61.6,77,344467,6,500,Rock Throw,Rock Slide,Stomp,9,8,5,75000
Weedle,70.8,13,bug,poison,63.9,54.6,112,390673,50,500,Bug Bite,Return<sup>†</sup>,Struggle,24,34,1,10000
Fennekin,70.7,653,fire,none,69.9,66.4,77,357140,19,500,Ember,Psyshock,Flame Charge,5,6,3,10000
Litwick (Shadow),70.7,607,ghost,fire,66.1,64.3,89,378071,19.5,499,Astonish,Mystical Fire,Flame Charge,5,5,5,75000
Passimian,70.7,766,fighting,none,75.8,55.7,78,329271,6.5,500,Counter,Brick Break,Brutal Swing,7,6,3,75000
Spidops,70.7,918,bug,none,64.3,80.2,75,386479,11,499,Bug Bite,Grass Knot,Lunge,17,15,1,50000
Carkol,70.5,838,rock,fire,56.8,81.4,95,439560,13,500,Smack Down,Flame Charge,Rock Blast,7,5,3,10000
Combee,70.5,415,bug,flying,56,81.9,97,444383,49,500,Bug Bite,Bug Buzz,,20,0,3,50000
Golem (Alolan),70.5,76,rock,electric,72.1,70.4,68,345469,6.5,500,Rock Throw,Rock Blast,Stone Edge,8,11,1,10000
Inkay (Shadow),70.5,686,dark,psychic,62.4,67.3,95,399432,21,500,Peck,Frustration<sup>†</sup>,Night Slash,9,5,3,50000
Pumpkaboo (Large),70.4,710,ghost,grass,65.2,71.5,82,382517,15.5,499,Astonish,Grass Knot,Foul Play,5,4,5,75000
Scrafty,70.4,560,dark,fighting,64.7,91.9,65,386481,8.5,500,Counter,Acid Spray,Foul Play,8,7,3,50000
Chikorita,70.2,152,grass,none,58.8,82.6,87,422523,21,499,Vine Whip,Body Slam,Grass Knot,5,7,3,10000
Overqwil,70.2,904,dark,poison,75.8,62.1,70,329322,6.5,500,Poison Jab,Aqua Tail,Dark Pulse,5,8,5,75000
Skorupi (Shadow),70.2,451,poison,bug,57.2,96.2,79,434636,19.5,500,Infestation,Aqua Tail,Cross Poison,3,3,5,75000
Wartortle (Shadow),70.2,8,water,none,62.6,79.5,80,398147,13,500,Bite,Aqua Jet,Frustration<sup>†</sup>,20,35,3,10000
Litwick,70.1,607,ghost,fire,66.1,64.3,89,378071,19.5,499,Astonish,Mystical Fire,Flame Charge,5,5,5,75000
Lucario,70.1,448,fighting,steel,83.8,54.5,65,296776,7,499,Bullet Punch,Aura Sphere,Blaze Kick,6,6,5,75000
Morpeko (Full Belly),70.1,877,electric,dark,81.8,55.9,67,306591,9.5,500,Bite,Aura Wheel,Outrage,23,30,3,50000
Nidoran Male (Shadow),70.1,32,poison,none,69.1,57,91,358433,22.5,499,Peck,Body Slam,Frustration<sup>†</sup>,5,9,3,50000
Purugly,70.1,432,normal,none,72.8,60.9,77,341050,9.5,499,Scratch,Aerial Ace,Play Rough,23,30,3,50000
Qwilfish,70.1,211,water,poison,75.5,61.1,71,327787,9,497,Poison Sting,Acid Spray,Aqua Tail,5,4,3,50000
Rhyhorn,70.1,111,ground,rock,65.2,64.3,91,381947,11.5,499,Mud Slap,Bulldoze,Horn Attack,5,4,3,50000
Furret,69.9,162,normal,none,66.7,60.6,92,371762,10.5,498,Quick Attack,Brick Break,Dig,5,7,1,10000
Houndoom,69.9,229,dark,fire,81.7,55.2,68,306593,7,500,Fire Fang,Crunch,Fire Blast,8,14,3,50000
Pidove (Shadow),69.9,519,normal,flying,65.3,60.2,97,381720,23,500,Air Slash,Aerial Ace,Air Cutter,5,4,1,10000
Sandile,69.9,551,ground,dark,78.1,47.7,86,320479,18.5,500,Bite,Bulldoze,Crunch,23,23,5,75000
Sylveon,69.9,700,fairy,none,69,70.6,74,360861,6,499,Charm,Dazzling Gleam,Draining Kiss,7,7,5,75000
Zweilous,69.9,634,dark,dragon,70.6,62.8,80,354384,10.5,500,Bite,Body Slam,Dark Pulse,18,25,5,75000
Clodsire,69.8,980,poison,ground,55.3,66.3,123,451575,10,500,Mud Shot,Acid Spray,Earthquake,5,8,3,50000
Mawile (Shadow),69.8,303,steel,fairy,72,70.2,68,343993,11.5,500,Astonish,Frustration<sup>†</sup>,Iron Head,7,5,5,75000
Scatterbug,69.8,664,bug,none,59.3,65.2,109,421177,49,500,Bug Bite,Struggle,,34,0,1,10000
Pumpkaboo (Average),69.6,710,ghost,grass,66.8,71.1,79,375014,16,500,Astonish,Grass Knot,Foul Play,5,4,5,75000
Oranguru,69.5,765,normal,psychic,64.5,75,80,387253,7.5,500,Confusion,Brutal Swing,Foul Play,3,3,3,75000
Pidove,69.5,519,normal,flying,65.3,60.2,97,381720,23,500,Air Slash,Aerial Ace,Air Cutter,5,4,1,10000
Wurmple,69.5,265,bug,none,62.2,58.3,111,402396,39.5,500,Bug Bite,Struggle,,34,0,1,10000
Golbat,69.3,42,poison,flying,67.8,67.4,80,366025,9.5,500,Bite,Air Cutter,Ominous Wind*,18,23,1,10000
Mawile,69.3,303,steel,fairy,72,70.2,68,343993,11.5,500,Astonish,Iron Head,Play Rough,5,6,5,75000
Slowpoke,69.3,79,water,psychic,60.4,58.2,118,414998,16,500,Confusion,Psyshock,Water Pulse,3,4,3,50000
Wattrel,69.3,940,electric,flying,70.6,57,87,349959,23.5,498,Peck,Acrobatics,Aerial Ace,7,6,1,10000
Wormadam (Sandy),69.3,413,bug,ground,64.1,83.6,73,390814,10.5,500,Bug Bite,Bug Buzz,Bulldoze,20,15,1,10000
Krokorok,69.2,552,ground,dark,78,50.6,81,319615,13.5,500,Bite,Bulldoze,Crunch,23,23,5,75000
Mightyena,69.2,262,dark,none,73.6,60.4,76,338124,9.5,500,Bite,Crunch,Play Rough,23,30,1,10000
Noibat,69.2,714,flying,dragon,63.1,63.9,97,390966,29.5,499,Bite,Air Cutter,Dragon Pulse,18,28,5,75000
Rowlet,69.2,722,grass,flying,60.9,63.8,105,407852,18.5,500,Leafage,Seed Bomb,Energy Ball,5,6,3,10000
Timburr,69.2,532,fighting,none,70.2,50.9,99,353542,14.5,498,Low Kick,Brick Break,Low Sweep,5,5,5,75000
Venomoth (Shadow),69.2,49,bug,poison,73.1,62.7,74,339439,9,500,Bug Bite*,Bug Buzz,Frustration<sup>†</sup>,20,24,3,50000
Caterpie,69,10,bug,none,58.8,58.8,120,415189,50,494,Bug Bite,Return<sup>†</sup>,Struggle,24,34,1,10000
Chikorita (Shadow),69,152,grass,none,58.8,82.6,87,422523,21,499,Vine Whip,Grass Knot,Body Slam,7,5,3,10000
Mimikyu,69,778,ghost,fairy,70.2,81.8,62,355716,8.5,499,Hex,Play Rough,Shadow Sneak,5,4,5,50000
Rufflet,69,627,normal,flying,73.7,52.9,87,339128,12.5,500,Peck,Aerial Ace,Brave Bird,6,7,5,75000
Zapdos (Galarian),69,145,fighting,flying,79.3,60.3,66,315439,5.5,500,Counter,Ancient Power,Brave Bird,8,10,20,100000
Buzzwole,68.9,794,bug,fighting,74.1,64.6,70,334812,5.5,500,Counter,Fell Stinger,Lunge,6,8,20,100000
Dewgong (Shadow),68.9,87,water,ice,59.2,78.1,91,420969,9.5,500,Frost Breath,Aqua Jet*,Aurora Beam,8,12,3,50000
Garganacl,68.9,934,rock,none,61.5,79.3,83,404386,7,500,Mud Shot,Ancient Power,Rock Blast,5,5,5,50000
Roggenrola (Shadow),68.9,524,rock,none,66.8,65.7,85,373158,16,500,Smack Down,Bulldoze,Frustration<sup>†</sup>,6,9,3,50000
Shroomish,68.9,285,grass,none,52.2,82.7,111,479238,24.5,500,Bullet Seed,Grass Knot,Seed Bomb,4,4,3,50000
Trumbeak (Shadow),68.9,732,normal,flying,77.5,54.3,76,319785,12.5,497,Peck,Drill Peck,Frustration<sup>†</sup>,5,9,1,10000
Hawlucha,68.7,701,fighting,flying,74.7,63,71,334217,8,500,Low Kick,Aerial Ace,Flying Press,6,5,5,75000
Hoothoot,68.7,163,normal,flying,52.2,74.2,124,480032,30.5,500,Feint Attack,Aerial Ace,Night Shade,8,8,1,10000
Mankey,68.7,56,fighting,none,82.3,51.3,72,303937,16,500,Karate Chop,Brick Break,Cross Chop,5,4,3,50000
Ninetales (Alolan),68.7,38,ice,fairy,66.8,77.7,72,373535,8,499,Charm,Blizzard,Chilling Water*,10,6,3,50000
Slowpoke (Shadow),68.7,79,water,psychic,60.4,58.2,118,414998,16,500,Confusion,Psyshock,Water Pulse,3,4,3,50000
Snivy,68.7,495,grass,none,58.3,79,92,423622,23.5,498,Vine Whip,Seed Bomb,Wrap,5,6,3,10000
Amoonguss,68.6,591,grass,poison,63.5,60.7,102,393569,9,500,Astonish,Foul Play,Grass Knot,4,5,3,50000
Charjabug (Shadow),68.6,737,bug,electric,66.5,78,72,373211,11,500,Bug Bite,Crunch,Discharge,15,14,1,10000
Falinks,68.6,870,fighting,none,73.9,69,66,336850,8,500,Counter,Brick Break,Megahorn,7,10,5,75000
Hippopotas (Shadow),68.6,449,ground,none,64,66.5,91,387077,14,500,Bite,Body Slam,Dig,18,25,3,50000
Mudsdale,68.6,750,ground,none,73.2,60.7,77,342085,6,500,Mud Slap,Body Slam,Bulldoze,4,5,3,50000
Dragalge,68.4,691,poison,dragon,67.9,83.3,65,367750,8,500,Acid,Aqua Tail,Focus Blast,5,10,3,50000
Granbull,68.4,210,fairy,none,78.3,52.9,77,319016,7.5,500,Bite,Close Combat,Crunch,23,23,3,50000
Klefki,68.4,707,steel,fairy,68.3,79.8,67,364819,9.5,500,Astonish,Draining Kiss,Flash Cannon,6,7,3,50000
Mantyke,68.4,458,water,flying,57.3,101,75,434176,15.5,499,Bubble,Aerial Ace,Ice Beam,5,5,5,10000
Frillish,68.3,592,water,ghost,62.6,76.8,83,398891,15.5,499,Hex,Night Shade,Ice Beam,4,5,3,50000
Skwovet,68.3,819,normal,none,59.9,61.1,113,413326,20.5,497,Bite,Body Slam,Crunch,18,23,1,10000
Staraptor,68.3,398,normal,flying,82.2,52,71,303388,6.5,499,Gust*,Brave Bird,Close Combat,4,4,1,10000
Swampert,68.3,260,water,ground,71.1,61.7,80,351145,6.5,500,Mud Shot,Earthquake,Hydro Cannon*,8,5,3,10000
Aron,68.1,304,steel,rock,63.6,79.4,77,388554,14.5,498,Metal Claw,Body Slam,Iron Head,5,8,1,10000
Beedrill (Shadow),68.1,15,bug,poison,73.9,60.8,75,337377,10,500,Bug Bite*,Aerial Ace,Drill Run*,15,14,1,10000
Ivysaur (Shadow),68.1,2,grass,poison,68.7,70,75,360635,11,498,Razor Leaf,Frustration<sup>†</sup>,Power Whip,18,13,3,10000
Pidgeot (Shadow),68.1,18,normal,flying,67.9,65.1,83,367193,9,500,Air Slash,Aerial Ace,Air Cutter*,5,4,1,10000
Toxel,68.1,848,electric,poison,70.1,55,92,355023,26.5,499,Acid,Power-Up Punch,,5,0,5,75000
Whiscash,68.1,340,water,ground,62.3,62.3,102,396305,9,498,Mud Shot,Blizzard,Mud Bomb,9,5,1,10000
Annihilape,68,979,fighting,ghost,71.9,60.4,80,347330,6,500,Counter,Close Combat,Ice Punch,8,7,3,50000
Cyndaquil (Shadow),68,155,fire,none,71.4,63.7,77,350138,19.5,500,Ember,Swift,Flame Charge,4,6,3,10000
Litleo,68,667,fire,normal,70.2,60.9,83,354604,13.5,500,Incinerate,Crunch,Flame Charge,3,3,3,10000
Wailmer (Shadow),68,320,water,none,67.4,39.5,139,370240,13,500,Rollout,Body Slam,Scald,3,4,1,10000
Charjabug,67.8,737,bug,electric,66.5,78,72,373211,11,500,Bug Bite,Crunch,Discharge,15,14,1,10000
Nickit,67.8,827,dark,none,62.9,66.4,95,397135,28,500,Quick Attack,Night Slash,Play Rough,5,8,1,10000
Pineco (Shadow),67.8,204,bug,none,62.6,75.4,84,396635,17.5,499,Bug Bite,Frustration<sup>†</sup>,Gyro Ball,24,17,5,75000
Poliwag,67.8,60,water,none,68,61.5,87,363932,23.5,498,Mud Shot,Mud Bomb,Body Slam,5,4,3,50000
Vivillon,67.8,666,bug,flying,76.1,49.9,86,326067,10,498,Gust,Aerial Ace,Bug Buzz,4,5,1,10000
Croagunk (Shadow),67.7,453,poison,fighting,72.3,53.8,89,345898,20,500,Mud Shot,Brick Break,Frustration<sup>†</sup>,5,8,3,50000
Gligar (Shadow),67.7,207,ground,flying,63,83.7,75,394972,10,499,Fury Cutter,Aerial Ace,Dig,12,13,5,75000
Kommo-o,67.7,784,dragon,fighting,72.9,78.7,60,344025,6,500,Dragon Tail,Boomburst,Brick Break,6,4,5,75000
Scizor (Mega),67.7,212,bug,steel,80.1,72.5,51,296275,4.5,488,Bullet Punch,Iron Head,Night Slash,8,5,5,75000
Blaziken,67.5,257,fire,fighting,84.2,52,68,297685,6.5,500,Counter,Aura Sphere,Blast Burn*,7,9,3,10000
Budew,67.5,406,grass,poison,60.9,78.2,86,409098,23,500,Razor Leaf,Grass Knot,Energy Ball,13,12,3,10000
Butterfree (Shadow),67.5,12,bug,flying,74,62.3,73,336907,10.5,499,Bug Bite*,Bug Buzz,Frustration<sup>†</sup>,20,24,1,10000
Entei,67.5,244,fire,none,74.7,56,80,334608,5.5,500,Fire Fang,Fire Blast,Flamethrower,14,10,20,100000
Muk,67.5,89,poison,none,67.7,63.2,86,368264,7,500,Acid<sup>†</sup>,Acid Spray,Dark Pulse,6,7,3,50000
Patrat (Shadow),67.5,504,normal,none,67.4,58.2,93,364970,24.5,498,Bite,Dig,Frustration<sup>†</sup>,25,35,1,10000
Farfetch'd,67.4,83,normal,flying,67.3,67.8,81,369966,15.5,500,Air Slash,Aerial Ace,Air Cutter,5,4,3,50000
Rolycoly,67.4,837,rock,none,59.1,81.3,88,422980,36,500,Smack Down,Rock Blast,Rock Slide,5,6,3,10000
Slowbro,67.4,80,water,psychic,65.6,70,83,380916,7.5,499,Confusion,Drain Punch,Ice Beam,3,4,3,50000
Taillow,67.4,276,normal,flying,73.5,51.3,90,339275,25.5,500,Peck,Aerial Ace,Return<sup>†</sup>,6,9,1,10000
Taillow (Shadow),67.4,276,normal,flying,73.5,50.8,90,335673,25,497,Peck,Aerial Ace,Frustration<sup>†</sup>,6,9,1,10000
Bidoof,67.2,399,normal,none,58.8,61.6,116,420813,27.5,499,Tackle,Crunch,Grass Knot,15,17,1,10000
Cofagrigus (Shadow),67.2,563,ghost,none,64.7,96.1,62,385754,8.5,499,Astonish,Dark Pulse,Frustration<sup>†</sup>,5,7,3,50000
Dustox,67.2,269,bug,poison,54.5,93.5,90,458711,16,500,Confusion,Bug Buzz,Silver Wind,5,4,1,10000
Lycanroc (Midday),67.2,745,rock,none,82.8,53.8,68,302662,7,500,Rock Throw,Crunch,Drill Run,9,8,5,50000
Nidoqueen,67.2,31,poison,ground,67.8,67.8,80,367526,7.5,500,Bite,Earthquake,Earth Power,33,25,3,50000
Oddish (Shadow),67.2,43,grass,poison,71,65.7,75,350092,15.5,499,Razor Leaf,Sludge Bomb,Seed Bomb,13,10,3,50000
Timburr (Shadow),67.2,532,fighting,none,70.2,50.9,99,353542,14.5,498,Low Kick,Brick Break,Frustration<sup>†</sup>,5,9,5,75000
Turtwig (Shadow),67.2,387,grass,none,65.7,66.8,86,377548,16,498,Razor Leaf,Body Slam,Seed Bomb,9,10,3,10000
Tyranitar,67.2,248,rock,dark,74.9,64.4,69,332940,5,499,Bite,Brutal Swing,Crunch,18,23,5,75000
Wartortle,67.2,8,water,none,62.6,79.5,80,398147,13,500,Bite,Aqua Jet,Hydro Pump,20,38,3,10000
Bronzong,67.1,437,steel,psychic,64,88.4,69,389959,8.5,500,Confusion,Bulldoze,Flash Cannon,4,5,3,50000
Chansey,67.1,113,normal,none,34.7,76.5,271,720087,16.5,500,Pound,Dazzling Gleam,Hyper Beam,14,20,5,75000
Ferroseed,67.1,597,grass,steel,52.6,104.1,86,471164,21,498,Tackle,Iron Head,Flash Cannon,17,22,3,75000
Hitmontop (Shadow),67.1,237,fighting,none,70.7,87.5,57,352754,9,500,Counter,Close Combat,Frustration<sup>†</sup>,8,12,5,75000
Houndoom (Mega),67.1,229,dark,fire,85.6,60.7,56,290871,5,500,Fire Fang,Crunch,Fire Blast,8,14,3,50000
Lickitung,67.1,108,normal,none,55.5,74.6,108,446945,13.5,499,Lick,Body Slam*,Hyper Beam,12,27,3,50000
Mareanie,67.1,747,poison,water,61.5,73.5,90,406926,20,500,Poison Sting,Sludge Wave,Brine,8,6,3,50000
Uxie,67.1,480,psychic,none,58.4,101.5,71,420491,7.5,495,Confusion,Future Sight,Swift,5,3,20,100000
Gyarados (Mega),66.9,130,water,dark,78.3,67,59,309317,4,492,Bite,Aqua Tail*,Crunch,18,23,1,10000
Pidgeot,66.9,18,normal,flying,67.9,65.1,83,367193,9,500,Air Slash,Aerial Ace,Air Cutter*,5,4,1,10000
Riolu,66.9,447,fighting,none,77.3,53.1,79,324101,19.5,500,Counter,Blaze Kick,Brick Break,7,7,5,10000
Skarmory (Shadow),66.9,227,steel,flying,60.7,95.1,71,410071,9,499,Air Slash,Brave Bird,Flash Cannon,7,8,5,75000
Wingull,66.9,278,water,flying,73.5,50.8,90,335673,25,497,Quick Attack,Air Cutter,Water Pulse,5,7,3,50000
Bellibolt,66.8,939,electric,none,67,62.5,89,373013,7,500,Sucker Punch,Discharge,Parabolic Charge,6,8,1,50000
Greedent,66.8,820,normal,none,61.9,63.4,103,404404,8,500,Bite,Body Slam,Crunch,18,23,1,10000
Meowth (Shadow),66.8,52,normal,none,65.4,63.3,91,376964,26,499,Bite,Body Slam*,Dark Pulse,18,25,3,50000
Slowpoke (Galarian),66.8,79,psychic,none,60.4,58.2,118,414998,16,500,Confusion,Psychic,Psyshock,4,3,3,50000
Beedrill,66.6,15,bug,poison,73.9,60.8,75,337377,10,500,Bug Bite*,Aerial Ace,Drill Run*,15,14,1,10000
Durant,66.6,632,bug,steel,78.2,70.9,57,316081,7,499,Bug Bite,Iron Head,Stone Edge,17,19,3,50000
Bastiodon (Shadow),66.5,411,rock,steel,47.2,144,78,530296,13,500,Iron Tail,Flamethrower,Flash Cannon,8,10,5,75000
Oinkologne,66.5,916,normal,none,68.9,59.1,89,362115,7.5,500,Mud Slap*,Body Slam,Dig,4,5,1,10000
Sizzlipede,66.5,850,fire,bug,70.1,59.2,86,356763,18.5,500,Bug Bite,Crunch,Bug Buzz,15,20,5,75000
Slowbro (Galarian),66.5,80,poison,psychic,69.8,60.4,85,358398,8,500,Confusion,Brutal Swing,Drain Punch,3,3,3,50000
Darmanitan (Standard),66.3,555,fire,none,87,41.4,79,284730,6,499,Fire Fang,Focus Blast,Overheat,13,10,3,50000
Grubbin (Shadow),66.3,736,bug,none,70.2,58.4,86,352549,19.5,499,Bug Bite,Crunch,Frustration<sup>†</sup>,15,24,1,10000
Gurdurr,66.3,533,fighting,none,72.5,57.8,82,343236,8.5,499,Low Kick,Brick Break,Low Sweep,5,5,5,75000
Toedscool,66.3,948,ground,grass,58.8,94.9,76,424214,19,500,Mud Shot,Earth Power,Seed Bomb,6,5,3,50000
Aron (Shadow),66.2,304,steel,rock,63.6,79.4,77,388554,14.5,498,Metal Claw,Body Slam,Frustration<sup>†</sup>,5,10,1,10000
Barbaracle,66.2,689,rock,water,70.5,76.1,66,354431,7,500,Fury Cutter,Cross Chop,Grass Knot,9,13,3,50000
Bounsweet,66.2,761,grass,none,55.3,70.4,115,447513,49.5,498,Razor Leaf,Energy Ball,Draining Kiss,12,14,3,10000
Hydreigon,66.2,635,dark,dragon,79.6,59.7,66,313442,5.5,500,Bite,Brutal Swing*,Dark Pulse,18,25,5,75000
Roggenrola,66.2,524,rock,none,65.7,66.8,86,377548,16,498,Smack Down,Bulldoze,Rock Blast,6,5,3,50000
Arcanine (Hisuian),66,59,fire,rock,76.1,57.8,74,325462,6,498,Fire Fang,Crunch,Flamethrower,8,10,3,50000
Bewear,66,760,normal,fighting,75.5,49.8,88,330468,6,500,Low Kick,Drain Punch*,Payback,5,8,1,10000
Loudred (Shadow),66,294,normal,none,70.2,48.3,105,356220,14.5,500,Bite,Disarming Voice,Flamethrower,23,28,1,10000
Mudbray,66,749,ground,none,75.6,57.5,76,330262,10,499,Mud Slap,Body Slam,Bulldoze,4,5,3,50000
Zorua (Hisuian),66,570,normal,ghost,87.8,48.9,66,283544,15.5,500,Scratch,Dark Pulse,Foul Play,25,20,5,75000
Bombirdier,65.9,962,flying,dark,73.9,67.8,67,335785,7.5,499,Rock Throw,Aerial Ace,Fly,9,9,5,75000
Dewgong,65.9,87,water,ice,59.2,78.1,91,420969,9.5,500,Frost Breath,Aqua Jet*,Aurora Beam,8,12,3,50000
Vigoroth,65.9,288,normal,none,67.4,65.4,84,370350,9.5,500,Counter,Body Slam,Brick Break,6,7,5,75000
Conkeldurr,65.7,534,fighting,none,79.6,52,76,314795,6,500,Counter,Brutal Swing*,Dynamic Punch,6,8,5,75000
Jellicent,65.7,593,water,ghost,62.3,71.7,90,401783,8,500,Bubble,Bubble Beam,Ice Beam,4,5,3,50000
Pumpkaboo (Small),65.7,710,ghost,grass,67.3,73.2,75,369667,16,500,Astonish,Grass Knot,Foul Play,5,4,5,75000
Sharpedo (Shadow),65.7,319,water,dark,96.1,37.6,72,260199,8.5,500,Bite,Crunch,Frustration<sup>†</sup>,23,35,3,50000
Talonflame (Shadow),65.7,663,fire,flying,69.8,65.9,77,353967,8.5,499,Fire Spin,Brave Bird,Fire Blast,6,8,1,10000
Jumpluff (Shadow),65.6,189,grass,flying,56.5,90.2,87,443300,12,500,Bullet Seed,Acrobatics*,Aerial Ace,5,4,3,50000
Lampent (Shadow),65.6,608,ghost,fire,77.1,57.6,73,324215,11,500,Astonish,Energy Ball,Flame Burst,5,6,5,75000
Larvesta,65.6,636,bug,fire,76,57.6,75,328662,12.5,500,Bug Bite,Bug Buzz,Flame Charge,20,17,5,75000
Primeape (Shadow),65.6,57,fighting,none,81.1,57.4,66,307112,8,499,Counter,Close Combat,Cross Chop*,8,6,3,50000
Gible,65.4,443,dragon,ground,71.5,53.1,92,349367,17.5,500,Mud Shot,Body Slam,Dig,4,6,5,75000
Gliscor,65.4,472,ground,flying,66.7,82.4,68,373796,7,500,Fury Cutter,Acrobatics,Aerial Ace,14,12,5,75000
